adress,area,floor,price,rooms,floors_total,year,latitude,longitude
"Россия, Самара, Ново-Садовая улица, 321А",89.0,4/9,6300000,3,9,2010,53.244548,50.203347
"Россия, Самара, Чапаевская улица, 120",55.9,2/4,5000000,2,2,1,53.188508,50.09448
"Россия, Самара, проспект Металлургов, 11",90.0,3/4,3600000,4,4.0,1955.0,53.226169,50.261567
"Россия, Самара, улица Елизарова, 26",59.9,3/5,2450000,2,24.0,2007.0,53.228465,50.279847
"Россия, Самара, проспект Ленина, 10",54.0,3/9,4040000,3,9.0,1968.0,53.207124,50.133027
"Россия, Самара, проспект Карла Маркса, 200",92.0,22/24,5500000,3,5.0,1978.0,53.217764,50.193241
"Россия, Самара, улица Красных Коммунаров, 42",30.7,5/5,1750000,1,5,1960,53.211611,50.255772
"Россия, Самара, Кировский район, Ташкентский переулок, 43",40.0,1/10,2200000,1,10.0,2005.0,53.236761,50.262627
"Россия, Самара, улица Стара Загора, 150",30.0,1/5,1670000,1,5,1970,53.247129,50.234132
"Россия, Самара, улица Осипенко, 2",67.3,5/9,6200000,3,9.0,1970.0,53.213332,50.130448
"Россия, Самара, Осетинская улица, 4",36.0,13/16,2300000,1,17,2014,53.154827,50.075966
"Россия, Самара, улица Максима Горького, 11",20.0,1/3,950000,1,,1878.0,53.178293,50.074268
"Россия, Самарская область, Волжский район, село Рождествено, Садовая улица",184.0,2/10,11000000,4,16.0,2009.0,53.239881,50.060515
"Россия, Самара, улица Победы, 92А",40.0,6/9,2250000,1,5.0,1956.0,53.212695,50.247229
"Россия, Самара, проспект Кирова, 322",54.0,12/12,3800000,2,12,1988,53.255296,50.218124
"Россия, Самара, проспект Карла Маркса, 376",44.0,1/5,2150000,2,5.0,1968.0,53.242732,50.238201
"Россия, Самара, Красноглинский район, микрорайон Крутые Ключи, бульвар Ивана Финютина, 76",34.5,2/3,1590000,1,3,2014,53.327493,50.315439
"Россия, Самара, улица Фадеева, 57",46.0,4/12,2650000,2,9.0,1970.0,53.235268,50.211054
"Россия, Самара, посёлок Соцгород, Пугачевский тракт, 49",76.6,2/5,3200000,4,5,1974,53.123685,50.09413
"Россия, Самара, Московское шоссе, 139",50.0,3/9,3100000,2,9.0,1977.0,53.241557,50.209285
"Россия, Самара, улица Мечникова, 5",48.0,12/18,2641100,1,19.0,2016.0,53.186339,50.134868
"Россия, Самара, улица Свободы, 184",58.0,1/5,2850000,3,5.0,1968.0,53.229473,50.274978
"Россия, Самара, Кузнецкая улица, 31",62.6,5/5,2700000,3,5,1977,53.228692,50.271664
"Россия, Самара, улица Осипенко, 2Б, подъезд 1",85.0,1/16,7900000,3,16.0,1977.0,53.214453,50.131904
"Россия, Самара, улица Аминева, 25",45.0,5/9,2899000,2,9.0,1986.0,53.250103,50.209518
"Россия, Самара, улица Чкалова, 72",100.0,3/9,7300000,2,11,2015,53.201364,50.123424
"Россия, Самара, улица Георгия Димитрова, 79",60.0,7/9,3580000,3,9,1979,53.257419,50.228518
"Россия, Самара, Красноглинский район, посёлок Управленческий, Крайняя улица, 6",55.0,5/5,2700000,3,5.0,1977.0,53.342156,50.217666
"Россия, Самара, улица Челюскинцев, 14",22.0,8/9,1947000,1,9.0,1975.0,53.209352,50.143788
"Россия, Самара, улица Советской Армии, 5",30.0,8/9,1650000,2,9.0,1991.0,53.194125,50.218888
"Россия, Самара, Воронежская улица, 186",46.0,1/5,2500000,2,5.0,1967.0,53.239078,50.223047
"Россия, Самара, Красноглинский район, посёлок Управленческий, улица 8 Марта, 19",44.0,2/2,1690000,2,2,1959,53.347258,50.209896
"Россия, Самара, Днепровская улица, 3",60.8,3/5,3800000,4,5.0,1978.0,53.200075,50.22461
"Россия, Самара, Ставропольская улица, 98к1",23.0,2/5,1300000,1,5,1972,53.222406,50.231994
"Россия, Самара, посёлок Мехзавод, 1-й квартал, 50",39.0,1/10,1930000,1,None,None,53.306503,50.286809
"Россия, Самара, Революционная улица, 87",32.0,5/5,2150000,1,5.0,1962.0,53.210468,50.171475
"Россия, Самара, улица Скляренко, 17",77.0,3/9,4500000,3,9.0,1986.0,53.214329,50.159123
"Россия, Самара, улица Георгия Димитрова, 78",62.0,4/9,3500000,3,9.0,1971.0,53.253686,50.230979
"Россия, Самара, Краснодонская улица, 10",44.3,4/27,1904900,1,,,53.215769,50.261701
"Россия, Самара, улица Венцека, 78",87.0,3/9,5850000,2,9,2004,53.18301,50.099816
