adress,area,floor,price,rooms,floors_total,year,latitude,longitude,district
"Россия, Самара, бульвар Засамарская Слобода, 4", 43.0, 3/23, 1858890, 1, 23,,53.148962,50.077394, Куйбышевский
"Россия, Самара, улица 22 Партсъезда, 22", 30.4, 4/5, 2100000, 1, 5,,53.210112,50.22973, Советский
"Россия, Самара, проспект Карла Маркса, 200", 42.5, 8/24, 2800000, 1, 24,,53.217764,50.193241, Октябрьский
"Россия, Самара, проспект Карла Маркса, 4Б", 42.1, 11/24, 2820700, 1, 24,,53.192107,50.134069, Железнодорожный
"Россия, Самара, 3-й проезд", 46.57, 10/16, 2561350, 1, 16,,53.288953,50.235255, Октябрьский
"Россия, Самара, Московское шоссе, 1", 42.6, 10/26, 2343000, 1, 26,,53.202718,50.143357, Ленинский
"Россия, Самара, Больничная улица, 39", 30.8, 2/10, 2800000, 1, 10,,53.20309,50.136467, Октябрьский
"Россия, Самара, Ново-Садовая улица, 42", 33.0, 8/9, 2357000, 1, 9,,53.214308,50.137905, Октябрьский
"Россия, Самара, посёлок Мехзавод, 1-й квартал, 37", 37.0, 1/10, 1750000, 1, 10,,53.308838,50.287582, Красноглинский
"Россия, Самара, улица Советской Армии", 38.0, 3/25, 1714950, 1, 25,,53.223209,50.200598, Советский
"Россия, Самара, 7-я просека, 100", 36.3, 10/19, 2350000, 1, 19,,53.25556,50.198424, Октябрьский
"Россия, Самара, улица Мира, 15", 38.0, 1/3, 1550000, 1, 3,,53.314218,50.305261, Красноглинский
"Россия, Самара, Ново-Садовая улица, 353В", 41.5, 6/16, 3070000, 1, 16,,53.252764,50.212069, Промышленный
"Россия, Самара, Красноглинский район, микрорайон Крутые Ключи, улица Евгения Золотухина, 29", 33.5, 2/3, 1750000, 1, 3,,53.316703,50.312124, Красноглинский
"Россия, Самара, улица Дыбенко, 124", 28.8, 8/9, 2400000, 1, 9,,53.207119,50.225221, Советский
"Россия, Самара, улица Георгия Димитрова, 109", 40.0, 5/9, 2250000, 1, 9,,53.263974,50.223442, Промышленный
"Россия, Самара, Молодёжная улица, 18", 40.0, 6/27, 3100000, 1, 27,,53.259875,50.222795, Промышленный
"Россия, Самара, улица Стара Загора, 91", 31.7, 8/9, 2350000, 1, 9,,53.231829,50.21445, Промышленный
"Россия, Самара, улица Стара Загора, 102А", 33.0, 9/9, 2100000, 1, 9,,53.238356,50.224251, Промышленный
"Россия, Самара, Красноглинский район, посёлок Управленческий, улица 8 Марта, 6/1", 42.77, 2/4, 1550000, 1, 4,,53.352826,50.204227, Красноглинский
"Россия, Самара, Партизанская улица, 58", 34.0, 1/9, 1650000, 1, 9,,53.195565,50.161162, Железнодорожный
"Россия, Самара, Майская улица, 3/185", 50.61, 4/16, 2400300, 1, 16,,53.235074,50.255997, Кировский
"Россия, Самара, 5-я просека", 35.0, 3/19, 1870000, 1, 19,,53.247053,50.182191, Октябрьский
"Россия, Самара, Ташкентская улица, 141", 21.9, 2/9, 1660000, 1, 9,,53.25194,50.249251, Кировский
