price_per_m,latitude,longitude
106.4,59.69529,30.418411
172.0,59.863549,30.343644
200.0,59.960994,30.304675
91.0,59.83584,30.132468
78.0,59.773959,30.596637
119.7,59.935205,30.274653
107.4,60.049644,30.42858
124.8,59.846459,30.425247
123.3,59.859162,30.197425
63.0,59.911985,29.783877
113.5,59.932351,30.46577
120.6,60.03771,30.225578
91.5,59.84998,30.200228
110.0,59.863545,30.345135
155.0,59.870637,29.92096
130.3,59.853356,30.154782
160.0,60.010115,30.404316
134.7,60.033193,30.244919
116.0,59.959525,30.315913
96.5,59.949095,30.419309
122.5,60.02133,30.268545
102.0,59.846997,30.391066
192.8,59.904126,30.312437
127.8,59.962665,30.322093
138.0,60.039386,30.333448
153.0,59.853329,30.330304
139.2,59.850405,30.134983
95.0,59.841844,30.349366
113.2,59.83975,30.111825
101.2,59.860184,30.187939
88.0,59.836988,30.147227
106.0,59.809799,30.36426
147.1,60.028096,30.335784
155.0,59.938072,30.205232
111.8,60.073167,30.332011
150.0,60.013524,30.361817
77.0,59.788302,30.162589
110.7,60.070828,30.321357
148.7,59.911543,30.346177
107.0,59.978975,30.410748
146.5,59.983779,30.281094
115.0,60.046203,30.363084
84.3,59.808776,30.368357
85.0,59.868347,29.856227
111.7,60.040883,30.341254
153.0,60.01785,30.41497
153.5,60.05295,30.311862
110.2,60.035198,30.389503
107.0,60.017297,30.323827
134.0,59.944296,30.212409
129.0,59.866775,30.270126
201.0,59.944328,30.394812
139.7,60.033656,30.299384
114.0,59.860712,30.192583
105.2,59.862601,30.513318
144.0,60.034897,30.404397
138.0,59.831657,30.370342
69.0,59.747167,30.566714
105.0,59.927815,30.300956
110.0,59.964962,30.49157
200.5,59.952078,30.250381
112.8,59.859659,30.19456
92.0,60.045044,30.404164
92.0,59.830042,30.201342
100.5,59.838001,30.503454
81.0,59.689223,30.43096
130.0,59.839095,30.361512
110.0,59.910194,30.323046
232.5,59.95839,30.319021
81.0,60.05905,30.315374
164.0,60.013749,30.31673
