price_per_m,latitude,longitude
56.0,53.2142,50.245029
80.3,53.200868,50.142378
58.3,53.212722,50.166435
70.0,53.188454,50.106481
38.0,53.51567,50.142064
73.3,53.237186,50.223981
42.0,53.137787,50.080017
36.0,53.150231,50.138102
57.0,53.22659,50.274125
54.0,53.196121,50.181994
64.7,53.247759,50.192298
53.0,53.235974,50.254138
55.0,53.308504,50.28883
100.0,53.205123,50.122831
46.1,53.295794,50.285588
72.0,53.22329,50.153517
48.0,53.112698,50.147274
42.0,53.316983,50.308575
28.7,53.486662,49.85684
42.0,53.266452,50.237357
67.2,53.224115,50.174214
46.0,53.342608,50.217405
65.7,53.207038,50.223882
59.6,53.196024,50.168312
43.0,53.147088,50.05879
33.0,53.112449,50.076568
54.3,53.258798,50.231707
44.5,53.249429,50.255494
50.0,53.230455,50.217738
55.0,53.231247,50.254389
60.9,53.195295,50.152053
47.0,53.316068,50.310588
51.5,53.226789,50.292639
50.0,53.208138,50.23053
69.3,53.204093,50.122301
68.0,53.208311,50.206769
59.8,53.199357,50.249996
65.8,53.244203,50.204101
51.8,53.092716,50.163273
53.0,53.235192,50.246798
44.8,53.118962,50.085335
65.0,53.248702,50.23768
74.0,53.200328,50.141624
79.0,53.216998,50.166444
60.0,53.248406,50.231958
49.0,53.19495,50.204865
71.0,53.182578,50.076029
39.0,53.391738,50.167773
44.5,53.228153,50.295613
74.0,53.250054,50.186566
84.5,53.203392,50.105556
73.6,53.224185,50.153984
43.9,53.116076,50.069677
72.6,53.191335,50.1345
71.7,53.219414,50.190366
62.0,53.191681,50.177709
68.3,53.245793,50.189064
69.4,53.242802,50.181131
45.0,53.213925,50.266948
34.0,53.300939,50.284923
53.0,53.182735,50.090842
71.8,53.214367,50.164144
73.0,53.242996,50.183269
75.9,53.215887,50.160982
57.0,53.197011,50.20146
97.0,53.206628,50.113919
46.0,53.301891,50.274601
70.0,53.220347,50.199592
55.5,53.218821,50.222382
53.5,53.207815,50.18203
44.8,53.146964,50.060326
58.0,53.211045,50.172714
74.0,53.204196,50.126397
58.0,53.214663,50.214073
45.0,53.246935,50.202574
50.0,53.199778,50.251434
97.0,53.197561,50.155008
44.0,53.220244,50.273056
71.7,53.20343,50.182039
75.0,53.199562,50.112635
48.0,53.154389,50.074726
47.0,53.215596,50.257156
58.0,53.192582,50.190348
66.2,53.197076,50.155709
75.0,53.188929,50.112365
52.0,53.244348,50.193672
50.0,53.239563,50.277314
39.0,53.228881,50.29546
80.0,53.197723,50.110308
50.2,53.19515,50.211566
37.3,53.222659,50.245074
48.5,53.115892,50.149672
39.0,53.176712,50.204056
64.0,53.309688,50.286648
55.0,53.234206,50.247005
56.0,53.207184,50.159078
58.2,53.187623,50.189351
56.8,53.19795,50.155988
65.0,53.236928,50.28159
34.5,53.149858,50.144112
46.8,53.19078,50.172822
70.3,53.24333,50.182335
54.0,53.117076,50.158727
39.0,53.121291,50.089997
73.0,53.20378,50.22523
41.0,53.110276,50.080799
31.0,53.201984,50.179272
43.8,53.302193,50.276434
69.5,53.200285,50.116623
90.5,53.198478,50.112707
35.0,53.120686,50.093492
49.0,53.262892,50.2186
52.2,53.23081,50.250463
48.0,53.340016,50.223173
54.2,53.155626,50.076064
36.5,53.223333,50.246664
60.0,53.226935,50.207434
53.0,53.238318,50.190465
51.5,53.233538,50.260758
60.0,53.21001,50.225418
45.0,53.320506,50.311468
81.2,53.205167,50.133539
60.0,53.232406,50.273972
69.0,53.25326,50.21127
50.3,53.191184,50.194804
64.0,53.227021,50.272975
59.3,53.259224,50.218834
92.0,53.188006,50.084536
58.5,53.194729,50.207201
39.5,53.122739,50.093438
46.5,53.256148,50.24069
32.3,53.222794,50.251658
47.0,53.224972,50.291238
66.0,53.237709,50.234698
78.2,53.243071,50.187824
80.6,53.190208,50.084437
55.0,53.188622,50.215231
48.5,53.207335,50.214468
56.0,53.21578,50.213677
26.0,53.184283,50.211171
49.0,53.240776,50.214046
52.0,53.206709,50.160937
71.8,53.260328,50.223757
95.0,53.217494,50.231257
30.0,53.187823,50.113237
73.9,53.255894,50.200499
54.5,53.236901,50.287735
61.0,53.191934,50.139548
62.9,53.236949,50.222598
65.3,53.254041,50.219166
74.5,53.181466,50.093995
73.5,53.226439,50.202502
70.0,53.256234,50.198469
63.0,53.191875,50.150418
50.0,53.245798,50.217217
45.0,53.121075,50.084455
43.7,53.297672,50.289908
50.0,53.347983,50.226999
55.0,53.187613,50.083709
39.5,53.248632,50.312762
60.9,53.204255,50.180539
57.0,53.247765,50.192414
67.5,53.190192,50.140573
47.0,53.319113,50.309177
89.0,53.206116,50.130323
56.0,53.190969,50.176568
50.2,53.244882,50.240869
50.0,53.202351,50.224861
31.0,53.077874,50.217226
56.1,53.208268,50.282506
47.7,53.190747,50.173648
63.5,53.18683,50.200823
73.0,53.250189,50.201263
42.0,53.123901,50.09298
50.0,53.310511,50.308414
63.4,53.198716,50.214531
62.3,53.186852,50.204676
37.0,53.309026,50.308009
43.0,53.347785,50.220666
49.0,53.246725,50.212546
56.6,53.214027,50.224763
79.0,53.24285,50.186521
74.8,53.241304,50.182668
50.0,53.110849,50.138084
39.0,53.249693,50.261046
50.0,53.228816,50.184662
67.0,53.269085,50.219723
77.0,53.187785,50.092737
68.0,53.238442,50.189064
71.2,53.199465,50.227979
32.0,53.42784,49.959472
90.0,53.191767,50.109976
72.0,53.197232,50.147606
49.0,53.232379,50.27558
66.5,53.248487,50.237501
79.0,53.21627,50.164045
61.2,53.240452,50.219364
55.0,53.228304,50.273847
55.7,53.237122,50.235956
56.0,53.237542,50.208665
52.0,53.210765,50.256051
33.0,53.127089,50.106517
59.0,53.211347,50.182964
81.0,53.240835,50.184536
51.5,53.134356,50.25023
58.0,53.214701,50.23442
60.0,53.198311,50.158162
42.3,53.291197,50.365079
42.7,53.516473,50.136521
53.8,53.251488,50.253338
63.0,53.217198,50.206922
63.0,53.211277,50.236504
63.3,53.212458,50.245091
81.8,53.208467,50.218403
60.3,53.111174,50.142414
34.5,53.150247,50.142746
80.2,53.247118,50.076684
53.0,53.199724,50.227485
58.0,53.188325,50.13503
67.3,53.224266,50.151757
67.5,53.259886,50.207713
43.0,53.123944,50.092432
53.0,53.196871,50.223173
56.0,53.241891,50.231024
64.8,53.243341,50.180053
31.0,53.136787,50.240034
55.0,53.219177,50.25712
51.1,53.213871,50.296628
45.0,53.488526,49.853183
52.0,53.217958,50.263821
73.0,53.249715,50.203976
58.0,53.189695,50.136728
54.3,53.259261,50.21056
61.0,53.25632,50.222984
55.5,53.19495,50.167019
49.2,53.235968,50.251559
67.0,53.204487,50.228554
43.5,53.296892,50.284815
92.5,53.186296,50.097382
52.0,53.234788,50.2224
63.0,53.247102,50.2451
38.0,53.222433,50.263965
67.0,53.206677,50.175077
59.5,53.209988,50.253724
53.0,53.195457,50.129424
74.0,53.261313,50.225823
38.0,53.215704,50.196061
68.2,53.252183,50.209276
65.5,53.221403,50.253194
49.5,53.247845,50.231841
64.7,53.225538,50.261872
56.0,53.237725,50.281383
38.0,53.518031,50.142414
47.0,53.245685,50.24873
44.0,53.213412,50.251452
44.3,53.22343,50.192046
84.8,53.203112,50.123397
36.0,53.119643,50.089674
67.5,53.256956,50.235839
53.2,53.160766,50.374575
59.0,53.235429,50.067755
72.5,53.194265,50.140599
53.3,53.24958,50.207865
41.0,53.201483,50.230108
45.0,53.350687,50.212555
59.0,53.245728,50.265789
131.0,53.20254,50.123567
71.3,53.224088,50.176083
76.9,53.197615,50.135659
46.0,53.141287,50.043096
76.5,53.197059,50.112608
37.3,53.491575,49.848431
55.7,53.199325,50.2489
63.5,53.24458,50.194453
67.5,53.202664,50.157209
58.0,53.201084,50.156572
72.2,53.242031,50.184015
72.0,53.23689,50.235462
55.1,53.11353,50.143223
33.5,53.150701,50.140608
59.0,53.209891,50.21542
45.0,53.196698,50.212932
44.0,53.116433,50.160551
59.5,53.25548,50.233916
54.6,53.113341,50.142486
62.8,53.181342,50.076451
49.2,53.342339,50.227493
54.0,53.263947,50.216238
47.6,53.251854,50.230629
46.0,53.347795,50.221403
51.8,53.212636,50.237644
66.0,53.218357,50.243295
62.0,53.218557,50.247544
60.0,53.202599,50.159545
61.3,53.193488,50.13786
43.0,53.340565,50.222445
53.5,53.217397,50.273317
69.5,53.237036,50.180377
44.0,53.325379,50.313238
57.0,53.267836,50.224287
51.9,53.207329,50.284276
79.0,53.276511,50.264324
42.1,53.147374,50.078957
19.0,53.144112,50.134482
71.7,53.243486,50.184168
47.0,53.323728,50.313112
119.7,53.198581,50.103113
37.0,53.294653,50.289351
58.4,53.244462,50.186809
47.0,53.314562,50.311145
87.7,53.190413,50.119992
51.0,53.239666,50.234222
64.0,53.225393,50.201353
85.0,53.192571,50.105484
90.0,53.238345,50.063075
54.2,53.208014,50.280719
60.3,53.24146,50.18954
69.5,53.237795,50.211584
49.0,53.246401,50.251658
70.0,53.224191,50.198631
86.0,53.19072,50.118887
59.0,53.200183,50.186674
