price_per_m,floors,latitude,longitude
39.9,8,53.180247,50.192998
52.0,5,53.212636,50.237644
58.3,12,53.239396,50.276407
71.0,14,53.245545,50.19042
70.3,5,53.195603,50.13273
42.7,3,53.327848,50.314163
57.7,10,53.236125,50.248649
73.2,19,53.240355,50.184779
59.7,10,53.230918,50.247283
49.7,3,53.327229,50.31728
67.9,10,53.244095,50.194894
49.6,7,53.246762,50.192217
63.0,5,53.193235,50.133233
44.0,3,53.316009,50.306348
54.0,5,53.197901,50.162105
41.3,3,53.319274,50.313777
64.8,5,53.212458,50.245091
46.9,5,53.204158,50.23247
90.0,5,53.205884,50.110191
40.1,16,53.147379,50.074942
66.8,9,53.18805,50.1383
57.5,9,53.244462,50.186809
52.0,5,53.232449,50.281716
57.3,5,53.214189,50.198137
38.2,4,53.285723,50.226389
53.7,5,53.211611,50.224134
52.6,5,53.249413,50.256958
51.0,9,53.374981,50.184464
49.3,5,53.206493,50.238857
55.6,16,53.150091,50.075382
69.0,9,53.211886,50.211521
49.5,5,53.217699,50.22894
56.4,5,53.240533,50.23274
38.8,9,53.117578,50.070567
45.0,5,53.374266,50.183889
61.4,25,53.219818,50.154604
58.6,16,53.223711,50.192244
56.6,24,53.266242,50.232892
46.2,9,53.256148,50.24069
65.8,5,53.228929,50.214369
43.1,10,53.218168,50.200921
58.7,5,53.211611,50.164656
45.5,5,53.108098,50.085075
46.7,9,53.210193,50.254955
71.3,9,53.203613,50.22249
40.1,5,53.136053,50.079846
73.4,9,53.245286,50.218214
50.5,17,53.228983,50.241094
52.7,5,53.237122,50.235956
72.8,24,53.204002,50.182362
53.0,2,53.190418,50.093654
53.7,3,53.320157,50.311216
50.2,20,53.191859,50.140213
70.0,10,53.187154,50.197472
71.0,9,53.201386,50.175364
43.0,5,53.237073,50.289396
70.3,12,53.194373,50.144543
59.5,10,53.221328,50.254757
60.4,12,53.255296,50.218124
74.9,9,53.199595,50.133287
53.0,5,53.251251,50.259644
68.9,25,53.22157,50.169202
74.6,11,53.192166,50.12107
56.2,10,53.308784,50.288965
57.0,3,53.288533,50.222391
75.2,10,53.242091,50.210551
47.0,3,53.308924,50.307578
55.3,9,53.11353,50.143223
59.3,17,53.200183,50.152879
64.0,9,53.229694,50.255171
72.1,9,53.249252,50.226568
58.0,5,53.236577,50.245029
62.4,5,53.225625,50.208332
57.4,5,53.208095,50.157488
45.9,5,53.347414,50.219265
69.6,5,53.201132,50.230997
60.0,9,53.252263,50.242415
77.3,16,53.257554,50.208512
73.1,16,53.24451,50.195864
77.2,9,53.197615,50.135659
41.5,5,53.394547,50.176065
69.2,9,53.25103,50.237564
53.0,9,53.111082,50.139324
67.4,16,53.190823,50.116587
84.5,17,53.190235,50.133871
49.7,5,53.340828,50.224008
55.9,9,53.262919,50.212887
65.9,14,53.245114,50.190725
44.5,16,53.191724,50.191821
55.0,5,53.223376,50.272257
63.5,25,52.923593,50.828341
74.7,9,53.209967,50.13839
58.4,9,53.188773,50.145513
64.4,10,53.238706,50.179245
66.0,9,53.247393,50.236081
46.9,5,53.192161,50.181814
52.5,16,53.153325,50.074501
61.0,5,53.194993,50.169867
53.7,9,53.094251,50.165932
47.2,5,53.244984,50.2626
68.2,9,53.231064,50.188578
64.7,16,53.230207,50.245729
68.9,9,53.200636,50.147373
55.6,16,53.259261,50.21056
53.0,2,53.183231,50.091264
60.8,12,53.259164,50.234096
59.0,9,53.113768,50.14395
66.6,25,53.222093,50.169067
54.6,5,53.253923,50.232677
