price,longitude,latitude,rooms,area,floor,floors_total,year
10300000,30.309607,59.92739200000001,2,68.0,4,4,0
5100000,30.223297,59.827622999999996,2,56.0,2,9,0
5750000,30.216505,59.839353,2,54.7,2,10,0
10660000,30.405062,59.962435,2,79.0,4,14,0
15900000,30.254325,59.932219999999994,2,74.5,11,18,0
3700000,30.337976,60.077575,1,35.0,9,24,0
3099668,30.315868,59.939094999999995,2,42.3,18,18,0
10200000,30.199949,59.998247,2,70.0,6,22,0
5250000,30.462958,59.682083,1,37.8,3,3,0
5324909,30.315868,59.939094999999995,2,63.9,2,17,0
10040000,30.405062,59.962435,2,75.0,3,14,0
5909768,30.155995,59.859217,1,40.5,17,23,0
13300000,30.316254,59.982234999999996,2,73.6,15,16,0
4926419,30.315868,59.939094999999995,2,60.9,1,17,0
5909768,30.155995,59.859217,1,40.5,21,23,0
17000000,30.319973,59.938802,2,63.3,4,4,0
5481212,30.352852,59.889787,2,37.3,2,4,0
17919600,30.27221,59.959233,2,87.2,10,10,0
4500000,30.186475,59.861589,1,45.0,20,22,0
5129179,30.315868,59.939094999999995,2,61.5,5,17,0
11650000,30.262903,59.854147,2,82.7,5,5,0
3650000,30.234139000000006,60.03394,1,39.3,9,19,0
3926448,30.32636,59.825134999999996,2,37.5,1,15,0
3700000,30.477628000000006,59.949785,1,39.7,4,9,0
11300000,30.225147,59.982905,2,71.0,5,13,0
3300000,30.311996,60.06371600000001,1,30.7,1,9,0
4870750,30.323513,59.981339,2,40.0,4,14,0
17576100,30.27221,59.959233,2,106.2,2,10,0
5500000,30.389404,59.85454,1,43.0,11,13,0
4129561,30.41338,59.892812,2,41.1,4,20,0
10300000,30.316012,59.97685,2,69.0,4,13,0
4640000,30.454855,59.860979,1,38.6,6,25,0
4874822,30.323513,59.981339,2,39.3,9,14,0
14300000,30.267485,59.96271899999999,2,66.3,7,10,0
4580000,30.454855,59.860979,1,38.1,7,25,0
4048443,30.32636,59.825134999999996,2,36.9,11,15,0
10700208,30.338434000000003,59.976643,2,63.2,3,9,0
4040000,30.231947,60.022405000000006,1,35.0,3,12,0
10260000,30.197075,60.00494200000001,2,64.2,7,11,0
4374000,30.452673,59.882239,2,48.1,2,9,0
3700000,30.274878,59.994211,1,38.0,11,21,0
6000000,30.337491,59.82362,2,50.0,18,18,0
14488000,30.314826,59.92825300000001,2,82.0,4,4,0
3400000,30.413443,60.00796,1,30.8,1,5,0
4300000,30.494121000000003,59.956731999999995,2,46.0,5,9,0
16500000,30.132243,59.768174,2,101.9,1,4,0
4990000,30.203902000000006,59.937017000000004,1,43.7,7,18,0
3599000,30.089681,59.740669999999994,2,49.0,2,9,0
10850000,30.314278,59.974752,2,65.7,13,14,0
3300000,30.111286,59.753065,1,31.0,5,5,0
4800000,30.630126,59.76144,2,57.0,5,12,0
18700000,30.366839,59.926278,2,95.0,2,7,0
4650000,30.378633,59.985512,1,42.0,17,25,0
3600000,30.448459000000003,59.862221,2,45.5,5,5,0
17500000,30.306364,59.924253,2,72.0,2,4,0
