area,floor,price,rooms,floors_total,year,latitude,longitude
31.0,2,1330000,1,3,1964,53.319618999999996,50.314477000000004
34.0,9,1950000,1,9,1984,53.22446,50.271457
56.6,6,3699000,2,12,1994,53.207480000000004,50.216902000000005
33.3,7,2200000,1,12,1979,53.199735,50.151855
97.0,12,5650000,3,16,2004,53.247328,50.188641
73.0,6,4990000,2,17,2014,53.262278,50.222786
60.0,15,5600000,2,16,2013,53.254073999999996,50.201712
53.7,2,2850000,2,10,2002,53.182497,50.208377
30.0,1,1900000,1,5,1970,53.253513,50.237402
44.0,6,2780000,2,9,1977,53.200787,50.137896000000005
213.0,3,20500000,4,7,2002,53.197556000000006,50.112328999999995
54.0,7,1800000,2,10,1995,53.112649,50.085190999999995
38.0,12,2500000,1,16,1971,53.194114,50.181051000000004
46.0,3,2750000,1,19,2010,53.209281999999995,50.207802
76.5,9,3200000,2,10,2011,53.142049,50.040294
50.2,4,3750000,1,9,1,53.224153,50.150202
46.0,8,2980000,1,10,1989,53.214426,50.157721
41.1,1,2200000,2,9,1968,53.24105,50.222238
50.8,11,2649000,1,12,2001,53.239396,50.276407
42.8,1,2400000,2,5,1963,53.196180000000005,50.183332
55.0,4,2700000,2,5,0,53.214059999999996,50.170433
42.7,8,1800000,2,9,1987,53.214468999999994,50.222957
55.0,4,2900000,3,4,1960,53.237143,50.27647
45.0,3,2190000,2,5,1964,53.1916,50.209312
58.0,1,2650000,3,5,1964,53.188816,50.205413
80.0,11,5700000,2,20,2007,53.261437,50.213640999999996
29.3,5,1650000,1,5,1979,53.216443000000005,50.239342
47.0,2,1400000,3,2,1,53.188087,50.100544
46.0,11,2950000,1,12,2011,53.207874,50.206787
38.0,1,1550000,1,3,2013,53.323873,50.312717
46.0,3,2500000,2,3,2013,53.314713,50.311513
78.6,3,5690000,3,19,2014,53.256060999999995,50.199484000000005
43.5,5,2500000,2,5,1963,53.220383999999996,50.26843
150.0,7,14000000,4,9,2007,53.192226,50.110828999999995
68.0,7,3450000,3,9,1980,53.26315,50.234258000000004
74.0,3,3100000,4,5,1974,53.247797,50.267657
152.1,10,21000000,5,25,0,53.200129000000004,50.10702
55.0,4,3600000,2,14,2016,53.25831899999999,50.218654
74.0,3,3050000,3,10,1995,53.112649,50.085190999999995
56.0,1,2100000,3,5,1964,53.485628000000005,49.848449
52.6,5,3000000,2,5,1977,53.212091,50.166363
43.0,1,2200000,2,5,1977,53.142805,50.04412
72.0,24,4250000,2,25,2015,53.240964,50.186476
68.0,4,4000000,3,5,2014,53.11753,50.161171
72.5,1,2590000,2,5,0,53.228465,50.279847
79.8,5,3000000,2,5,1,53.17766700000001,50.077017
53.0,20,4000000,1,22,2013,53.217613,50.168977000000005
28.0,6,1850000,1,7,2016,53.114318999999995,50.148216999999995
49.6,2,1900000,2,3,2011,53.326283,50.313148
31.9,3,2100000,1,3,1888,53.189009999999996,50.098028
60.0,1,1899000,3,5,1965,53.14509,50.041047999999996
45.0,2,2200000,2,3,2011,53.319171999999995,50.309025
47.0,4,2200000,2,5,1972,53.34135,50.227529
71.0,4,3200000,3,4,1967,53.215575,50.251622
57.1,3,4800000,2,3,1917,53.186005,50.096455999999996
54.0,1,3500003,3,12,1972,53.235094999999994,50.054666999999995
48.0,5,2750000,1,18,2016,53.222579,50.189683
57.2,5,4897000,1,22,2014,53.222039,50.153453999999996
62.8,1,2450000,4,5,1968,53.10941700000001,50.079775
50.3,12,2650000,2,12,1979,53.251127000000004,50.250077000000005
33.0,2,2150000,1,9,1972,53.243093,50.233952
69.3,9,3600000,3,12,1982,53.255076,50.227574
64.0,8,4300000,2,9,2012,53.244785,50.185354
108.0,4,7800000,4,9,2007,53.215343000000004,50.164567
44.0,1,1850000,2,5,0,53.346661,50.2095
48.0,4,2290000,2,5,1964,53.190931000000006,50.210165
46.5,4,2300000,1,14,2011,53.276495,50.263058
43.7,2,2150000,2,3,2012,53.316875,50.312447
50.0,16,3600000,1,16,2012,53.229765,50.193771000000005
96.0,16,6900000,3,19,2009,53.223802,50.193699
53.0,5,3500000,1,16,2006,53.244979,50.189576
52.9,9,3350000,2,9,1974,53.245296999999994,50.216705
36.0,1,1600000,1,5,2014,53.115827,50.15729
66.5,8,5550000,2,10,2011,53.276495,50.263058
85.0,3,5300000,4,9,1976,53.241465000000005,50.211342
42.7,2,1300000,2,3,1961,53.484229000000006,49.851405
35.0,13,1950000,1,16,2014,53.154827000000004,50.075965999999994
45.0,1,2700000,2,5,1967,53.2364,50.244246999999994
50.0,7,3500000,2,10,1,53.213693000000006,50.167109
81.0,1,4900000,4,9,1988,53.190737,50.137240000000006
81.8,8,7100000,2,9,1995,53.193386,50.113057
29.0,3,1447000,1,3,2014,53.325680000000006,50.317783
22.6,9,1300000,1,9,1976,53.210091000000006,50.279111
80.0,2,5990000,3,9,1978,53.237731000000004,50.223559
49.9,4,3993200,1,4,2017,53.259811,50.189423
74.0,11,3500000,3,12,1985,53.251746,50.245074
21.0,3,1230000,1,9,1975,53.209745,50.278293
46.0,3,2300000,2,3,2013,53.37323000000001,50.372571
48.7,6,3100000,1,25,0,53.221651,50.168428999999996
30.0,2,1450000,1,3,2012,53.315574,50.309509999999996
50.0,15,3450000,2,16,2010,53.209427000000005,50.206724
30.0,5,1150000,1,5,1969,53.12042099999999,50.087752
47.0,1,2500000,2,5,1974,53.214006000000005,50.172139
44.5,11,2245020,1,27,0,53.215768999999995,50.261701
66.0,16,6000000,2,20,2007,53.261437,50.213640999999996
56.2,3,4000000,2,7,1,53.187358999999994,50.099978
38.0,1,1700000,1,9,1968,53.110946,50.144606
36.0,8,1950000,1,16,2014,53.154827000000004,50.075965999999994
38.0,3,1900000,1,10,1974,53.37375600000001,50.186476
24.0,2,1250000,1,5,1969,53.25229,50.234698
70.0,10,5100000,3,10,1991,53.188384,50.139342
87.0,10,7000000,3,18,2009,53.219921,50.245577000000004
47.0,5,2550000,1,10,0,53.309537,50.286827
58.0,1,1650000,3,2,1961,53.157478000000005,50.087994
22.0,5,1300000,1,5,1962,53.203964,50.231572
50.0,2,2350000,2,5,1981,53.25164399999999,50.37682
140.5,4,14700000,3,9,2008,53.18520600000001,50.081499
72.0,4,6700000,3,9,1974,53.211142,50.140626
57.0,3,2400000,2,8,1977,53.195214,50.163381
39.0,17,2999000,1,24,2017,53.19210699999999,50.134069000000004
41.0,2,3100000,1,6,1964,53.19073100000001,50.202619
57.0,4,4100000,1,22,2008,53.216826,50.162760999999996
43.0,1,2620000,2,5,1965,53.194848,50.209428
58.5,8,3180000,1,16,1,53.235094999999994,50.054666999999995
169.0,11,12300000,4,12,1,53.191643000000006,50.088794
93.0,6,5300000,3,18,1,53.222239,50.244723
31.0,3,1800000,1,9,2017,53.11036800000001,50.139333
64.8,7,3200000,3,9,0,53.300793000000006,50.275347
150.0,2,19500000,4,5,1962,53.19789,50.103095
44.0,1,2100000,2,5,1969,53.229549,50.273191
36.6,9,1550000,1,10,0,53.391454,50.168519
42.0,3,2100000,2,5,1962,53.215887,50.23442
41.0,3,2200000,1,10,2017,53.307207999999996,50.289235
57.7,5,3950000,3,5,1955,53.18219499999999,50.152646000000004
55.0,8,2500000,2,10,0,53.351999,50.2141
56.3,2,4450000,2,9,1975,53.209157999999995,50.126658
44.6,1,1950000,1,10,2011,53.142049,50.040294
33.0,6,760000,1,9,1977,53.486775,49.854953
63.0,5,3300000,3,9,1985,53.34984300000001,50.211000000000006
85.0,5,8500000,2,10,1917,53.192797999999996,50.112114
29.8,1,1350000,1,3,2012,53.316187,50.306698
49.3,9,2890000,2,12,1981,53.25999399999999,50.22708
53.0,7,4300000,2,11,1991,53.185368000000004,50.109715
34.0,1,1650000,1,9,1978,53.195565,50.161162
63.0,3,3270000,3,5,1972,53.232729000000006,50.256788
46.0,3,2000000,2,5,1966,53.30166,50.270216999999995
32.0,5,1700000,1,5,2014,53.116983999999995,50.160731
