price,longitude,latitude,rooms,area,floor,floors_total,year
2150000,50.224251,53.238356,1,36.0,9,9,0
2750000,50.221403,53.347795,3,56.6,3,5,0
1500000,50.10178300000001,53.195538,1,21.0,5,9,0
2500000,50.144256,53.206563,1,31.3,3,5,0
2531683,50.176209,53.224379000000006,1,37.7,4,24,0
1650000,50.231239,53.234998,1,32.0,4,5,0
3000000,50.23982700000001,53.24254300000001,3,57.0,3,5,0
2300000,50.10178300000001,53.195538,1,34.0,5,5,0
2300000,50.160479,53.215429,1,35.0,4,6,0
2900000,50.206715,53.20878,1,48.0,7,12,0
2750000,50.183027,53.241756,1,47.5,11,19,0
2900000,50.15447800000001,53.20131,3,53.3,5,5,0
2700000,50.151963,53.201278,3,84.2,2,2,0
1850000,50.143223,53.11353,1,32.0,2,9,0
1850000,50.072884,53.15008,1,45.0,6,10,0
800000,50.116066,53.193488,1,17.5,2,2,0
2900000,50.09483,53.122145,3,70.0,1,5,0
2180000,50.223963,53.20454599999999,1,33.0,6,9,0
2291120,50.176918,53.203748,1,44.1,3,19,0
2570000,50.193223,53.21830799999999,1,45.1,10,24,0
1550000,50.249996,53.19935699999999,1,29.0,4,5,0
2350000,50.247607,53.216896,3,54.3,1,2,0
1250000,50.10178300000001,53.195538,1,18.0,2,5,0
1730000,50.190681,53.193574,1,35.0,15,25,0
1900000,50.133179,53.191449,1,24.4,1,24,0
2100000,50.08857800000001,53.184715,3,66.0,3,3,0
1400000,50.24484,53.22625,1,25.0,5,5,0
2500000,50.137905,53.214308,1,33.0,3,9,0
1950000,50.150607,53.115346,1,37.4,4,5,0
2750000,50.259788,53.24395,3,61.0,2,9,0
2441450,50.176918,53.203748,1,44.4,14,19,0
2600000,50.101002,53.18969499999999,3,46.0,1,2,0
2430000,50.187761,53.23356999999999,1,33.0,4,5,0
2900000,50.27364,53.23157,3,54.0,1,5,0
2350000,50.214109,53.264351,1,37.6,8,9,0
2500000,50.142019,53.205372,3,59.7,3,3,0
2598000,50.228329,53.222428,3,61.0,3,5,0
3000000,50.177179,53.241649,3,70.0,1,10,0
2550000,50.285588,53.295794,3,74.9,4,4,0
2900000,50.162375,53.196439,3,58.0,2,5,0
1650000,50.090851,53.124598,3,56.4,9,9,0
2780000,50.248891,53.211077,3,75.0,5,5,0
2400000,50.177233,53.196876,3,58.1,1,5,0
2850000,50.207389,53.238863,3,54.8,9,9,0
2400000,50.182793,53.234998,3,60.0,3,3,0
2500000,50.221205,53.34114,3,52.0,2,5,0
2450000,50.194283,53.213224,3,59.0,5,5,0
2650000,50.262977,53.232185,3,67.0,2,2,0
2750000,50.176137,53.196078,3,57.0,3,5,0
2950000,50.10178300000001,53.195538,3,58.0,3,9,0
2650000,50.228329,53.222428,3,56.0,3,5,0
2700000,50.271664,53.228692,3,62.6,5,5,0
2480000,50.259527,53.24527,3,55.5,8,9,0
1700000,50.209042,53.347924,3,65.0,1,2,0
2750000,50.174313,53.392737,3,64.0,4,5,0
2650000,50.268448,53.21690699999999,3,69.4,1,4,0
2650000,50.217666,53.342156,3,57.0,5,5,0
2450000,50.196061,53.215704,3,63.0,2,2,0
2430000,50.271556,53.217834,3,60.0,5,5,0
2800000,50.085335,53.118962,3,59.0,5,5,0
2950000,50.290205,53.226935,3,64.0,4,5,0
2350000,50.28797700000001,53.320947,3,63.0,1,2,0
2950000,50.243501,53.28622900000001,3,72.2,1,4,0
2908500,50.3194,53.298878,3,83.1,9,9,0
2000000,50.291094,53.197356000000006,3,75.0,3,3,0
2998000,50.23751,53.205868,3,67.0,2,5,0
3000000,50.23503,53.238852,3,64.0,4,5,0
2500000,50.258225,53.228439,3,65.0,2,2,0
2200000,50.213363,53.243352,3,57.6,5,5,0
2550000,50.169768,53.392871,3,66.0,4,9,0
2750000,50.254479,53.245275,3,57.0,5,9,0
2990000,50.228706,53.20213,3,60.0,5,5,0
1899000,50.143267,53.150204,3,58.0,2,3,0
3000000,50.293583,53.230891,3,56.0,4,5,0
3200000,50.274314,53.225193,2,72.0,1,10,0
3300000,50.214531,53.19871600000001,2,49.1,3,9,0
3975000,50.193223,53.21830799999999,2,74.2,3,24,0
4050000,50.193223,53.21830799999999,2,74.2,7,24,0
3650000,50.106167,53.199465,2,43.0,6,6,0
5160000,50.10178300000001,53.195538,2,70.0,13,21,0
3300000,50.085434,53.18036,2,45.9,3,3,0
4555000,50.093995,53.181466,2,66.6,14,16,0
5600000,50.191525,53.23469100000001,2,94.0,15,16,0
3500000,50.239711,53.249764,2,70.9,3,22,0
3400000,50.075966,53.154827,2,61.0,14,16,0
4550000,50.110353,53.18734300000001,2,58.1,4,8,0
