adress,area,floor,?,price,rooms,floors_total,year,latitude,longitude
"Санкт-Петербург, улица Коллонтай, 5/1, Невский округ, Санкт-Петербург",37.0,18/25,2548,5100000,1,25,2013,59.913144,30.449996
"Морской пр-кт, 29, Чкаловское, Санкт-Петербург",109.9,6/7,3419,44920800,3,7,2017,59.971834,30.263559
"Санкт-Петербург, проспект Большевиков, 7к3, Невский округ, Санкт-Петербург",73.0,23/25,4904,10700000,2,26,2013,59.881932,30.464602
"Есенина ул, 8к1, Сосновское, Санкт-Петербург",65.0,4/9,1799,7600000,3,9,1978,60.038456,30.327995
"посёлок Парголово, Санкт-Петербург, улица Валерия Гаврилина, 13к1, Парголово, Санкт-Петербург",20.6,12/23,5720,3000000,0,28,2017,60.079639,30.33608
"Санкт-Петербург, Дачный проспект, 23к5, Дачное, Санкт-Петербург",53.7,2/3,261,6395000,2,3,1949,59.838123,30.256103
"Санкт-Петербург, проспект Обуховской Обороны, 90, Невская застава, Санкт-Петербург",61.4,4/5,4104,5200000,2,5,1877,59.892942,30.43927
"Басков пер, 2, Литейный округ, Санкт-Петербург",115.5,7/9,3422,32401215,3,10,2018,59.939767,30.353184
"Малая Зеленина ул, 1, Чкаловское, Санкт-Петербург",74.0,9/10,962,24500000,2,10,2016,59.962435,30.282657
"Санкт-Петербург, улица Подвойского, 35к1, Оккервиль, Санкт-Петербург",46.6,1/9,4905,5200000,2,,,59.914899,30.508952
"Россия г Санкт-Петербург, пр-кт Ветеранов, д. 82, Ульянка, Санкт-Петербург",32.2,12/12,2549,3630000,1,12,1972,59.831155,30.215113
"Красное Село, Санкт-Петербург, улица Спирина, 2к1, Красное Село, Санкт-Петербург",30.7,3/9,1800,2550000,1,9,1978,59.747444,30.086061
"ул. Тихоокеанская, д. 17, Парголово, Санкт-Петербург",40.0,11/25,4105,2390000,1,10,2012,60.071766,30.235002
"Политрука Пасечника (Торики) ул, 10, Горелово, Санкт-Петербург",83.0,4/4,5721,4750000,3,4,1954,59.779748,30.10701
"Петровская наб, 4, Посадский, Санкт-Петербург",100.0,3/8,969,35000000,3,8,1967,59.953759,30.330394
"Басков пер, 2, Литейный округ, Санкт-Петербург",153.0,5/9,3424,36585640,3,10,2018,59.939767,30.353184
"Санкт-Петербург, Богатырский проспект, 26к1, № 65, Санкт-Петербург",43.0,4/16,4907,5575000,1,17,2010,60.008698,30.202132
"Жени Егоровой ул, 3к1, Шувалово-Озерки, Санкт-Петербург",32.0,9/9,1804,3550000,1,15,1982,60.062696,30.30772
"Санкт-Петербург, проспект Художников, 23к1, № 15, Санкт-Петербург",46.0,9/9,2551,5050000,2,9,1974,60.039535,30.347183
"Санкт-Петербург, Среднерогатская улица, 20, Звёздное, Санкт-Петербург",22.9,17/17,4108,3105000,0,18,2019,59.820282,30.3382
"Санкт-Петербург, улица Ворошилова, 33к1, Правобережный, Санкт-Петербург",45.0,10/22,264,5700000,1,22,2013,59.932351,30.46577
"Петергоф, Санкт-Петербург, улица Аврова, 26к1, Петергоф, Санкт-Петербург",71.4,2/3,5725,11100000,2,4,2004,59.870637,29.92096
"Россия, Санкт-Петербург, улица Мира, д.9, Кронверкское, Санкт-Петербург",120.0,4/6,1805,14000000,3,6,1911,59.959525,30.315913
"Санкт-Петербург, улица Ленсовета, 20, Звёздное, Санкт-Петербург",107.7,6/7,4908,16900000,4,7,1959,59.853329,30.330304
"Санкт-Петербург, Лиственная улица, 18к1, Светлановское, Санкт-Петербург",71.6,2/9,3428,12000000,2,25,2015,60.028096,30.335784
"Санкт-Петербург, улица Оптиков, 45к2, № 65, Санкт-Петербург",25.4,2/25,973,3600000,0,25,2009,59.999287,30.2253
"Петергоф, Санкт-Петербург, Чебышёвская улица, 2/13, подъезд 2, Петергоф, Санкт-Петербург",64.0,6/7,4111,5500000,3,9,1978,59.868347,29.856227
"Смольный проспект, д.11-17, Смольнинское, Санкт-Петербург",109.1,4/5,5727,21990000,2,4,2015,59.944328,30.394812
"Декабристов ул., д.19, Адмиралтейский округ, Санкт-Петербург",123.0,2/4,2552,13000000,4,4,1836,59.927815,30.300956
"Павловск, Пушкинский район, Санкт-Петербург, Детскосельская улица, 7, Павловск, Санкт-Петербург",44.0,1/4,1807,3590000,2,4,1969,59.689223,30.43096
"Черкасова ул, 19к1, № 21, Санкт-Петербург",63.0,5/9,265,5800000,3,9,1970,60.029036,30.42858
"посёлок Парголово, Санкт-Петербург, улица Николая Рубцова, 9, подъезд 1, Парголово, Санкт-Петербург",68.7,19/27,4912,9000000,3,28,2014,60.077184,30.341479
"Свердловская наб, 58, Большая Охта, Санкт-Петербург",70.7,9/16,3429,8755000,2,16,2014,59.956183,30.40676
"Санкт-Петербург, Кременчугская улица, 17к3, Лиговка-Ямская, Санкт-Петербург",95.0,3/10,977,14990000,3,11,2015,59.92042,30.370063
"Санкт-Петербург, Сестрорецк, улица Николая Соколова, 36, Сестрорецк, Санкт-Петербург",107.0,2/4,2554,11700000,3,4,2007,60.053296,30.006488
"Новочеркасский пр-кт, 33к3, Малая Охта, Санкт-Петербург",98.5,10/13,5730,14900000,3,10,2009,59.931283,30.406508
"Санкт-Петербург, Удельный проспект, 51к1, Светлановское, Санкт-Петербург",31.0,3/5,4115,3950000,1,,,60.023992,30.312643
"Санкт-Петербург, Октябрьская набережная, 26к3, Невский округ, Санкт-Петербург",35.0,3/5,4916,4200000,1,5,2006,59.908222,30.431454
"Санкт-Петербург, Казанская улица, 17-19, № 78, Санкт-Петербург",45.4,3/3,267,8999000,1,,,59.930007,30.315293
"Пушкин, Санкт-Петербург, Кедринская улица, 12, Пушкин, Санкт-Петербург",72.0,5/6,1812,9500000,2,6,2010,59.69924,30.411718
"Санкт-Петербург, 18-я линия Васильевского острова, 19, № 7, Санкт-Петербург",90.0,7/7,981,8300000,3,6,1953,59.933199,30.270297
"Санкт-Петербург, Ленинский проспект, 82к2, Южно-Приморский округ, Санкт-Петербург",43.0,6/22,2555,5350000,1,22,2014,59.859185,30.196033
"Санкт-Петербург, территория Усть-Славянка, Советский проспект, 34к2, Рыбацкое, Санкт-Петербург",25.0,22/25,5731,2990000,0,27,2018,59.803282,30.515537
"Санкт-Петербург, Пушкин, улица Архитектора Данини, 5, Пушкин, Санкт-Петербург",45.3,7/10,4122,4900000,1,10,2014,59.69529,30.418411
"Свердловская наб, 58, Большая Охта, Санкт-Петербург",42.0,8/16,3431,5695386,1,16,2014,59.956183,30.40676
"Санкт-Петербург, улица Брянцева, 15к2, Прометей, Санкт-Петербург",85.4,2/25,268,11150000,3,25,2007,60.041112,30.409994
"территория Пулковское, посёлок Шушары, Пушкинский район, Санкт-Петербург, Образцовая улица, 9А, Пушкин, Санкт-Петербург",68.0,2/4,4920,6400000,2,,2016,59.755123,30.367126
"Санкт-Петербург, Дальневосточный проспект, 25к1, подъезд 4, Невский округ, Санкт-Петербург",42.7,8/25,983,5250000,1,25,2018,59.903837,30.453786
"Понтонный п., Судостроителей ул., д.9, Колпино, Санкт-Петербург",70.4,1/3,4129,4498000,3,3,1951,59.783647,30.64051
"Санкт-Петербург, улица Союза Печатников, 13-15, Коломна, Санкт-Петербург",93.3,5/6,5732,11160000,3,,,59.923559,30.290518
"Россия, Санкт-Петербург, Ораниенбаумская улица, д.21, Петровский округ, Санкт-Петербург",219.0,8/9,1814,35000000,3,9,2000,59.961251,30.29739
"Санкт-Петербург, Кондратьевский проспект, 64к9, Пискарёвка, Санкт-Петербург",24.4,18/24,3432,3950000,0,25,2014,59.983252,30.390743
"Киевская улица, д. 3, Московская застава, Санкт-Петербург",142.0,6/19,2557,37000000,4,20,2014,59.902298,30.320899
"Санкт-Петербург, Пионерская улица, 50, Петровский округ, Санкт-Петербург",115.0,10/12,3433,28500000,3,14,2012,59.963539,30.273171
"2-я Берёзовая аллея, 34, Чкаловское, Санкт-Петербург",206.0,3/3,269,99000000,4,2,2002,59.977539,30.282244
"Санкт-Петербург, Костромской проспект, 10, Светлановское, Санкт-Петербург",36.8,8/10,4924,6400000,1,9,2014,60.013024,30.318428
"Санкт-Петербург, Большеохтинский проспект, 35, Большая Охта, Санкт-Петербург",72.0,3/5,5733,7500000,3,5,1956,59.956719,30.411143
"Владимирский пр-кт, 3, Владимирский округ, Санкт-Петербург",85.0,3/4,984,30000000,3,5,1838,59.931576,30.347552
"Санкт-Петербург, Среднерогатская улица, 12к1, Звёздное, Санкт-Петербург",57.0,12/18,2558,7200000,3,18,2018,59.824593,30.337419
"Санкт-Петербург, Красное Село, улица Лермонтова, 4, Красное Село, Санкт-Петербург",44.5,1/5,1816,3500000,2,5,1963,59.740189,30.08651
"Санкт-Петербург, Парашютная улица, 36к1, Юнтолово, Санкт-Петербург",36.0,13/24,4130,4500000,1,,2018,60.027494,30.253974
"посёлок Мурино, Всеволожский район, Ленинградская область, бульвар Менделеева, 11к4, Санкт-Петербург",63.6,4/20,273,6500000,2,22,2017,60.051194,30.427457
"Санкт-Петербург, Юнтоловский проспект, 49к7, подъезд 4, Лахта-Ольгино, Санкт-Петербург",60.0,2/5,5738,5600000,2,5,2014,60.02891,30.145557
"Санкт-Петербург, проспект Ветеранов, 143к1, Сосновая поляна, Санкт-Петербург",39.0,3/9,3435,4600000,2,9,1972,59.83584,30.141936
"Тореза пр-кт, 96А, Светлановское, Санкт-Петербург",217.6,17/17,986,20900000,5,18,1996,60.018255,30.333628
"Санкт-Петербург, Туристская улица, 23к2, № 65, Санкт-Петербург",33.0,24/27,4131,4990000,1,27,2014,59.99701,30.208088
"Санкт-Петербург, Дегтярный переулок, 6, Смольнинское, Санкт-Петербург",110.0,5/5,4928,8500000,4,4,1898,59.938437,30.378454
"Санкт-Петербург, улица Маршала Тухачевского, 23, Полюстрово, Санкт-Петербург",79.9,2/16,1817,7250000,2,16,2017,59.968263,30.428346
"Санкт-Петербург, проспект Просвещения, 41, № 15, Санкт-Петербург",65.0,6/9,2565,8200000,3,10,1992,60.053952,30.327196
"посёлок Парголово, Санкт-Петербург, Заречная улица, 19к1, Парголово, Санкт-Петербург",60.0,4/19,274,6500000,2,19,2015,60.07169,30.321806
"Санкт-Петербург, Октябрьская набережная, 70к4, Народный, Санкт-Петербург",93.1,5/9,4930,11200000,3,9,1998,59.875741,30.460497
"посёлок Шушары, Пушкинский район, Санкт-Петербург, Московское шоссе, 282, Пушкин, Санкт-Петербург",45.8,5/6,990,2890000,1,6,2012,59.756614,30.476038
"Санкт-Петербург, Среднерогатская улица, 20, Звёздное, Санкт-Петербург",29.1,5/17,3439,3200000,0,18,2019,59.820282,30.3382
"Санкт-Петербург, улица Бурцева, 19, Ульянка, Санкт-Петербург",53.1,2/9,4136,5350000,2,9,1969,59.83546,30.209283
"Санкт-Петербург, Будапештская улица, 36к1, Купчино, Санкт-Петербург",64.0,1/9,5741,5450000,3,9,1971,59.862334,30.377555
"Санкт-Петербург, набережная Обводного канала, 203, Екатерингофский, Санкт-Петербург",84.0,4/4,1820,7300000,3,,,59.909585,30.283412
"Константиновский проспект, д. 26, Чкаловское, Санкт-Петербург",379.0,1/4,2567,125000000,5,5,1909,59.972483,30.267853
"ул. Вязовая, д. 8, стр. 1, Чкаловское, Санкт-Петербург",170.0,6/8,275,64486000,4,10,2017,59.967691,30.276109
"Санкт-Петербург, улица Адмирала Трибуца, 8, Южно-Приморский округ, Санкт-Петербург",39.0,3/12,4934,5000000,1,19,2016,59.852972,30.148108
"Санкт-Петербург, Байконурская улица, 26, Озеро Долгое, Санкт-Петербург",63.0,23/25,992,8800000,2,25,2007,60.014711,30.279379
"Санкт-Петербург, Московский проспект, 183-185, Пулковский меридиан, Санкт-Петербург",155.0,17/17,3440,20500000,4,24,2014,59.855331,30.319839
"Санкт-Петербург, Большая Посадская улица, 9/5, Посадский, Санкт-Петербург",76.6,6/6,5742,9200000,3,6,1916,59.959422,30.327151
"Санкт-Петербург, проспект Луначарского, 15к1, Сосновское, Санкт-Петербург",81.0,13/25,4140,9100000,2,25,2007,60.04211,30.333448
"Санкт-Петербург, проспект Наставников, 47к1, Ржевка, Санкт-Петербург",78.8,17/18,1826,8300000,3,18,2007,59.957377,30.480772
"Санкт-Петербург, Гжатская улица, 22к4, Академическое, Санкт-Петербург",105.0,7/17,2569,16500000,3,24,2012,60.01365,30.388281
"Санкт-Петербург, Авангардная улица, 39к2, Урицк, Санкт-Петербург",30.7,5/5,276,3000000,1,5,1971,59.829323,30.180744
"посёлок Парголово, Санкт-Петербург, улица Фёдора Абрамова, 20к1, Парголово, Санкт-Петербург",35.0,17/27,3442,4200000,1,28,2014,60.081004,30.340985
"Санкт-Петербург, м. Балтийская, Адмиралтейский район, Курляндская улица, д.22-24Л, Екатерингофский, Санкт-Петербург",59.4,3/6,998,6000000,3,,,59.911241,30.283313
"ул. Парашютная,  д. 61-4, Коломяги, Санкт-Петербург",34.6,16/25,4936,3700000,1,17,2017,60.037378,30.255322
"Санкт-Петербург, проспект Маршака, 4, Полюстрово, Санкт-Петербург",37.9,4/18,1828,3699000,1,18,2015,60.035432,30.446277
"Санкт-Петербург, проспект Ветеранов, 169к2, Сосновая поляна, Санкт-Петербург",24.0,1/12,5753,2850000,0,13,2016,59.838249,30.114439
"Санкт-Петербург, Пушкинский район, посёлок Шушары, Вишерская улица, 1к2, Пушкин, Санкт-Петербург",41.5,21/22,4143,3500000,1,22,2019,59.810808,30.369803
"Союзный пр-кт., д.4, Правобережный, Санкт-Петербург",57.5,1/15,2579,7800000,1,15,2014,59.916284,30.439548
"Санкт-Петербург, Парашютная улица, 58, Коломяги, Санкт-Петербург",39.5,18/19,281,4790000,1,21,2015,60.063464,30.211843
"Санкт-Петербург, улица Олеко Дундича, 39к1, № 75, Санкт-Петербург",47.0,2/12,1829,5400000,2,12,1984,59.830997,30.410874
"Санкт-Петербург, улица Есенина, 36к1, Парнас, Санкт-Петербург",58.0,9/9,4938,5700000,3,,,60.070828,30.321357
"Парашютная улица, 61к4, Коломяги, Санкт-Петербург",61.8,8/17,1004,6176000,3,17,2017,60.037378,30.255322
"Санкт-Петербург, Просвещения пр. 43, № 15, Санкт-Петербург",57.5,4/25,5756,6379223,2,29,2017,60.053952,30.327196
"Санкт-Петербург, проспект Стачек, 26, Нарвский округ, Санкт-Петербург",78.0,5/5,3443,7500000,3,5,1954,59.889968,30.27274
"Санкт-Петербург, улица Антонова-Овсеенко, 5к1, Невский округ, Санкт-Петербург",34.0,9/16,4147,4600000,1,16,2007,59.906147,30.459679
"Санкт-Петербург, площадь Чернышевского, 2, Пулковский меридиан, Санкт-Петербург",58.0,5/6,2581,10500000,2,7,1939,59.787284,30.302789
"Санкт-Петербург, Рижский проспект, 14, Екатерингофский, Санкт-Петербург",73.5,1/4,282,7550000,2,4,1899,59.913325,30.29377
"посёлок Мурино, Всеволожский район, Ленинградская область, улица Шоссе в Лаврики, 76, Санкт-Петербург",25.6,11/12,1005,2700000,0,,2017,60.062184,30.455951
"Санкт-Петербург, Гжатская улица, 22к2, Академическое, Санкт-Петербург",45.0,16/19,4939,6399000,1,19,2012,60.01119,30.386736
"Королева пр-кт, 63к2, Коломяги, Санкт-Петербург",38.0,13/24,3444,5650000,1,25,2011,60.033193,30.244919
"Пушкин, Санкт-Петербург, Захаржевская улица, 4, Пушкин, Санкт-Петербург",51.0,3/3,1833,5150000,2,3,1958,59.708042,30.413506
"Санкт-Петербург, проспект Ветеранов, 171к5, Сосновая поляна, Санкт-Петербург",37.0,11/12,5758,4200000,1,13,2017,59.841975,30.113127
"Санкт-Петербург, Колпино, Раумская улица, 15, Колпино, Санкт-Петербург",51.0,9/9,4148,3650000,2,9,1978,59.737133,30.589073
"Караванная улица, 8, Дворцовый округ, Санкт-Петербург",148.7,3/4,2582,23800000,5,5,1916,59.936819,30.341982
"Санкт-Петербург, Корпусная улица, 3, Чкаловское, Санкт-Петербург",70.0,4/8,283,15950000,2,10,2018,59.961688,30.282496
"Санкт-Петербург, улица Ольги Берггольц, 29к2, Невская застава, Санкт-Петербург",56.0,1/5,1007,5800000,3,5,1966,59.891173,30.411161
"Санкт-Петербург, Комендантский проспект, 69, Коломяги, Санкт-Петербург",25.0,16/25,3448,3350000,0,27,2017,60.039413,30.224294
"Манчестерская ул 4, Светлановское, Санкт-Петербург",82.6,3/11,4940,10000000,2,11,1998,60.011527,30.328121
"Санкт-Петербург, Кондратьевский проспект, 64к9, Пискарёвка, Санкт-Петербург",24.0,5/20,5759,3500000,0,25,2014,59.983252,30.390743
"Санкт-Петербург, Гражданский проспект, 81, Академическое, Санкт-Петербург",54.0,2/14,2584,5990000,2,14,1973,60.017949,30.403993
"Санкт-Петербург, посёлок Парголово, улица Михаила Дудина, 25к2, Парголово, Санкт-Петербург",58.0,24/25,4158,5700000,2,26,2011,60.071708,30.329765
"посёлок Парголово, Санкт-Петербург, Заречная улица, 37, подъезд 2, Парголово, Санкт-Петербург",80.0,8/25,1008,6850000,3,28,2015,60.082126,30.338784
"Санкт-Петербург, улица Зенитчиков, 3к2, Автово, Санкт-Петербург",64.5,5/5,284,7300000,3,5,1940,59.872548,30.260667
"Рентгена ул, 19, Посадский, Санкт-Петербург",87.3,6/9,3449,15876000,2,9,2018,59.964822,30.326271
"ул. Маршала Тухачевского, д. 23, Полюстрово, Санкт-Петербург",51.7,2/16,1836,5336771,1,16,2017,59.968263,30.428346
"Пражская ул 5, Волковское, Санкт-Петербург",234.8,1/3,4944,26000000,4,13,2001,59.879281,30.382056
"Санкт-Петербург, улица Невзоровой, 12, Невская застава, Санкт-Петербург",33.8,2/20,5760,3606200,0,5,1969,59.889918,30.416938
"Санкт-Петербург, Варшавская улица, 63к1, Новоизмайловское, Санкт-Петербург",67.6,6/8,2588,7950000,3,7,1992,59.849153,30.314116
"Санкт-Петербург, улица Рылеева, 23, подъезд 1, Литейный округ, Санкт-Петербург",18.0,1/4,4159,2470000,0,7,1907,59.942322,30.358322
"Санкт-Петербург, Суздальский проспект, 9, Шувалово-Озерки, Санкт-Петербург",19.0,1/9,1009,2050000,0,9,1985,60.066163,30.310523
"Санкт-Петербург, Индустриальный проспект, 13, Пороховые, Санкт-Петербург",51.7,2/12,287,5750000,2,,,59.939406,30.47761
"Санкт-Петербург, улица Рылеева, 21, Литейный округ, Санкт-Петербург",107.9,4/8,1837,12900000,3,7,1910,59.942245,30.3579
"Санкт-Петербург, Колпино, бульвар Трудящихся, 15к3, Колпино, Санкт-Петербург",62.7,2/9,3453,4800000,3,,,59.735428,30.566768
"Санкт-Петербург, Съезжинская улица, 12, Введенский, Санкт-Петербург",88.0,3/7,5771,10500000,3,6,1913,59.954363,30.298369
"Лыжный пер, 4к3, № 65, Санкт-Петербург",45.0,7/24,4946,6990000,1,23,2012,59.999705,30.199078
"Санкт-Петербург, Выборгское шоссе, 23к2, Шувалово-Озерки, Санкт-Петербург",90.0,5/16,1010,11900000,3,16,2005,60.06015,30.308565
"Санкт-Петербург, проспект Металлистов, 25к3, Большая Охта, Санкт-Петербург",45.0,3/5,289,4200000,2,5,1964,59.95766,30.424564
"Санкт-Петербург, набережная Обводного канала, 183, Екатерингофский, Санкт-Петербург",62.0,2/6,2589,6600000,3,6,1901,59.90945,30.293482
"пр-т Просвещения, д. 43, стр. 1, № 15, Санкт-Петербург",54.1,1/28,3460,5300000,1,29,2017,60.053952,30.327196
"Санкт-Петербург, Долгоозёрная улица, 37к2, Юнтолово, Санкт-Петербург",35.0,7/17,4162,4180000,1,17,2008,60.02133,30.268545
"посёлок Шушары, Пушкинский район, Санкт-Петербург, Школьная улица, 1, Пушкин, Санкт-Петербург",28.2,1/5,1838,2790000,1,5,1974,59.726029,30.400714
"Санкт-Петербург, Варшавская улица, 26, подъезд 1, Московская застава, Санкт-Петербург",55.7,5/5,5772,7400000,2,5,1959,59.874363,30.314772
"Санкт-Петербург, проспект Художников, 33к4, № 15, Санкт-Петербург",49.0,13/16,4948,6300000,1,16,2007,60.039535,30.347183
"26-я линия В.О., д. 7, № 7, Санкт-Петербург",55.6,4/10,1011,9800000,2,,,59.928879,30.26037
"Санкт-Петербург, Шуваловский проспект, 37к1, Коломяги, Санкт-Петербург",66.0,24/24,290,7799000,2,24,2012,60.032456,30.246482
"Санкт-Петербург, Южное шоссе, 53к5, № 75, Санкт-Петербург",45.0,18/24,3462,5100000,2,25,2016,59.862967,30.411925
"Санкт-Петербург, Арцеуловская аллея, 23к1, Коломяги, Санкт-Петербург",27.0,18/20,2591,3280000,0,21,2017,60.042415,30.224716
"Санкт-Петербург, улица Орджоникидзе, 31к2, Звёздное, Санкт-Петербург",30.0,1/5,4163,3150000,1,5,1971,59.841979,30.342871
"Санкт-Петербург, Искровский проспект, 15к1, Невский округ, Санкт-Петербург",50.3,7/9,5783,4800000,2,9,1976,59.905944,30.46595
"Санкт-Петербург, аллея Поликарпова, 10к3, Комендантский аэродром, Санкт-Петербург",80.0,5/8,4954,10000000,3,10,2003,60.006512,30.285568
"Санкт-Петербург, проспект Маршала Блюхера, 55, Полюстрово, Санкт-Петербург",31.0,8/9,1840,3350000,1,,,59.973073,30.423378
"Петергоф, Санкт-Петербург, Ботаническая улица, 18к2, Петергоф, Санкт-Петербург",51.0,3/9,291,5100000,2,9,1976,59.870524,29.853838
"Санкт-Петербург, Ковенский переулок, 13, Литейный округ, Санкт-Петербург",108.1,3/4,1012,12599000,3,4,1916,59.937197,30.358655
"Косая линия, д.24/25, № 7, Санкт-Петербург",62.9,3/6,2592,5490000,2,6,1917,59.93071,30.259598
"Авиаконструкторов пр-кт, 20/2, Юнтолово, Санкт-Петербург",44.5,10/10,3463,4799000,1,10,1990,60.019801,30.2321
"Санкт-Петербург, Будапештская улица, 5к1, Купчино, Санкт-Петербург",62.1,7/9,4165,5440000,3,9,1973,59.872954,30.364503
"Санкт-Петербург, Пушкинский район, посёлок Шушары, территория Пулковское, Переведенская улица, 4к2с2, Пушкин, Санкт-Петербург",43.4,1/4,5786,4401200,1,4,2018,59.753323,30.372947
"пр. Королева 63/1, Коломяги, Санкт-Петербург",43.5,11/24,4955,5150000,1,24,2010,60.032479,30.243626
"Санкт-Петербург, Московский проспект, 82, Московская застава, Санкт-Петербург",76.0,6/8,293,18400000,2,9,2007,59.904654,30.319012
"Санкт-Петербург, улица Подвойского, 28к1, Оккервиль, Санкт-Петербург",50.0,9/9,1841,4950000,2,9,1975,59.914899,30.508952
"Советский проспект, 34к2, Рыбацкое, Санкт-Петербург",35.1,20/22,1017,3700000,1,27,2018,59.827664,30.552916
"Санкт-Петербург, Садовая улица, 77, Коломна, Санкт-Петербург",121.0,3/3,2600,12500000,3,3,1846,59.91973,30.294183
"Санкт-Петербург, Школьная улица, 112, № 65, Санкт-Петербург",54.5,7/10,5789,7125000,2,10,1989,59.992389,30.214924
"ул Благодатная, 1, Новоизмайловское, Санкт-Петербург",43.9,2/5,4171,4850000,2,5,1960,59.87481,30.299222
"Пушкин, Санкт-Петербург, улица Генерала Хазова, 5, Пушкин, Санкт-Петербург",68.0,3/5,3464,6500000,3,5,1987,59.736439,30.398369
"Санкт-Петербург, Петергофское шоссе, 7к1, Юго-Запад, Санкт-Петербург",60.4,5/9,1845,4850000,3,9,1978,59.847019,30.198665
"Санкт-Петербург, 14-я линия Васильевского острова, 93, Васильевский, Санкт-Петербург",91.7,2/5,300,14900000,3,5,1905,59.946482,30.26161
"Санкт-Петербург, проспект Юрия Гагарина, 77, Звёздное, Санкт-Петербург",108.7,7/8,4956,19400000,3,8,2008,59.838358,30.334194
"посёлок Парголово, Санкт-Петербург, улица Фёдора Абрамова, 8, Парголово, Санкт-Петербург",60.6,24/26,2603,6495000,2,27,2013,60.073759,30.338317
"Санкт-Петербург, Ленинский проспект, 72к3, Южно-Приморский округ, Санкт-Петербург",36.5,6/20,1019,4600000,0,20,2011,59.862357,30.184184
"Санкт-Петербург, Рябовское шоссе, 59, Ржевка, Санкт-Петербург",74.7,1/4,5792,4530000,3,,,59.970407,30.504793
"Санкт-Петербург, улица Катерников, 5к1, Южно-Приморский округ, Санкт-Петербург",90.0,2/5,4174,9230000,3,20,2015,59.853356,30.154782
"Санкт-Петербург, улица Ворошилова, 29к1, Правобережный, Санкт-Петербург",92.6,2/16,4957,9200000,3,22,2013,59.932955,30.46082
"Санкт-Петербург, Планерная улица, 69к1, Юнтолово, Санкт-Петербург",87.7,3/10,1846,7500000,4,10,1993,60.024338,30.217727
"Санкт-Петербург, проспект Королёва, 49, Юнтолово, Санкт-Петербург",55.2,7/12,303,5975000,2,12,1989,60.024145,30.251522
"Ленина ул, 29, Аптекарский остров, Санкт-Петербург",61.5,4/6,3465,11000000,2,,,59.963494,30.30154
"Санкт-Петербург, м. Площадь Мужества, Калининский район, Кондратьевский проспект, д.62к2, Пискарёвка, Санкт-Петербург",43.1,2/16,1020,4899000,1,16,2006,59.980641,30.39448
"Санкт-Петербург, Новолитовская улица, 5, Сампсониевское, Санкт-Петербург",71.1,5/5,2606,8350000,2,5,1955,59.978935,30.348387
"Каменноостровский пр-кт, дом 57, Аптекарский остров, Санкт-Петербург",160.3,5/6,5794,12000000,5,6,1910,59.9721,30.3064
"Индустриальный пр-кт 12, Пороховые, Санкт-Петербург",58.0,2/24,4958,8450000,3,22,2014,59.940587,30.475687
"Санкт-Петербург, Гражданский проспект, 9к6, Гражданка, Санкт-Петербург",30.6,5/5,1848,3650000,1,,,59.999093,30.389278
"Санкт-Петербург, улица Карпинского, 33к1, Пискарёвка, Санкт-Петербург",65.0,12/16,306,7700000,2,16,2005,60.012291,30.431526
"ул Ленина, 48Б, Чкаловское, Санкт-Петербург",57.1,3/6,4175,7930000,2,6,1956,59.964602,30.2965
"Санкт-Петербург, проспект Маршала Жукова, 74к1, Ульянка, Санкт-Петербург",30.2,9/9,3466,3190000,1,,,59.829192,30.191721
"Санкт-Петербург, Парашютная улица, 58, Коломяги, Санкт-Петербург",39.7,4/19,1022,4880000,1,21,2015,60.063464,30.211843
"Санкт-Петербург, улица Евдокима Огнева, 6к4, № 54, Санкт-Петербург",69.2,1/5,2607,5450000,4,5,1969,59.898458,30.474843
"Санкт-Петербург, Отечественная улица, 7, Ржевка, Санкт-Петербург",55.0,8/9,4960,5000000,2,9,1983,59.958147,30.489764
"Санкт-Петербург, Казанская улица, 33/5, Адмиралтейский округ, Санкт-Петербург",54.0,2/5,3467,7900000,2,6,1917,59.929227,30.311718
"Санкт-Петербург, Каменноостровский проспект, 64Д, Чкаловское, Санкт-Петербург",68.2,5/5,5795,6800000,3,5,1931,59.973667,30.302627
"Санкт-Петербург, улица Белы Куна, 21к1, № 72, Санкт-Петербург",31.3,1/6,4178,4350000,1,5,1967,59.874277,30.387967
"Санкт-Петербург, проспект Обуховской Обороны, 53, Невская застава, Санкт-Петербург",72.3,2/4,1852,5500000,4,4,1917,59.904175,30.420953
"Санкт-Петербург, Хасанская улица, 2к1, Пороховые, Санкт-Петербург",36.1,19/25,307,4700000,1,26,2007,59.937355,30.477331
"Санкт-Петербург, Ленинский проспект, 151к3, Новоизмайловское, Санкт-Петербург",64.8,3/14,1025,9300000,2,13,2006,59.852606,30.288407
"посёлок Парголово, Санкт-Петербург, улица Фёдора Абрамова, 20к1, Парголово, Санкт-Петербург",42.0,2/27,2608,4400000,1,28,2014,60.081004,30.340985
"Санкт-Петербург, Верейская улица, 35, Семёновский, Санкт-Петербург",84.2,4/4,1855,7480000,3,4,1947,59.913478,30.328265
"Санкт-Петербург, 7-я Красноармейская улица, 1, Измайловское округ, Санкт-Петербург",56.1,3/5,4963,8150000,2,4,1840,59.911863,30.317476
"Санкт-Петербург, Загребский бульвар, 43, Балканский, Санкт-Петербург",66.0,9/15,4180,5350000,3,15,1981,59.828053,30.416363
