area,floor,floors_total,latitude,longitude,price,rooms,year
44.0,5,5,53.2142,50.245029,2500000,2,1960
82.5,9,14,53.20086800000001,50.142378,6300000,2,2005
45.5,3,5,53.212722,50.166435,2650000,2,1974
55.0,3,5,53.18845400000001,50.106481,3900000,2,1996
18.0,2,5,53.51566999999999,50.14206400000001,850000,1,1968
55.1,1,9,53.237186,50.223981,4600000,2,1978
47.0,2,5,53.137787,50.080017,2000000,2,0
33.0,2,2,53.15023100000001,50.138102,1300000,1,1963
66.0,1,10,53.22659,50.274125,3800000,2,1987
56.0,1,5,53.196121,50.181994,3050000,2,1962
89.0,2,16,53.247759,50.192298,6150000,3,2009
53.0,3,10,53.235974,50.254138,2850000,2,1989
54.0,1,10,53.308504000000006,50.28883,2600000,2,2016
75.0,3,6,53.205123,50.122831,7500000,3,1957
56.1,2,3,53.295794,50.285588,3070000,2,2014
124.9,6,10,53.22329000000001,50.153517,9000000,4,0
34.1,6,9,53.112698,50.147274,1650000,1,2016
89.0,4,9,53.244548,50.203347,6300000,3,2010
44.1,2,5,53.19873199999999,50.166435,2550000,2,1965
38.0,3,3,53.31698299999999,50.308575,1598000,1,2012
68.0,5,9,53.244553,50.060649,3720000,3,1972
31.8,1,9,53.486662,49.85684000000001,850000,2,1978
46.0,3,3,53.266452,50.237357,1900000,2,1959
80.0,2,10,53.22411500000001,50.174214,6199000,2,1
47.0,4,5,53.342608,50.217405,2200000,2,1977
30.0,1,5,53.247129,50.234132,1670000,1,1970
32.0,4,5,53.243061,50.247212,1690000,1,1968
47.0,2,9,53.207038,50.223882,2750000,2,1993
73.0,9,9,53.196024,50.168312,4450000,3,1982
70.3,7,10,53.147088,50.05879,3000000,2,1995
34.5,2,3,53.327493,50.31543900000001,1590000,1,2014
44.0,16,27,53.215769,50.261701,2244510,1,0
65.0,2,4,53.112449,50.076568,2200000,2,1956
60.0,8,9,53.258798,50.231707,3400000,3,1979
48.2,8,18,53.186339,50.134868,3500000,1,2016
63.5,2,5,53.249429000000006,50.255494,2900000,3,1972
63.0,5,5,53.230455000000006,50.217738,3200000,3,1966
100.0,3,9,53.201364,50.123424,7300000,2,2015
47.0,1,5,53.231247,50.254389,2599000,2,1974
47.3,13,19,53.195295,50.152053,2650000,1,2017
46.0,3,3,53.31606800000001,50.310588,2150000,2,2012
30.1,5,5,53.226789,50.292639,1550000,1,1973
52.0,5,5,53.208138,50.23053,2600000,2,1966
39.0,1,10,53.306503,50.28680900000001,1930000,1,0
43.7,11,25,53.20409300000001,50.122301,3500000,1,2012
50.7,9,12,53.208311,50.206769,3750000,2,2011
30.0,1,5,53.12042099999999,50.087752,1200000,1,1969
23.0,4,5,53.19935699999999,50.249996,1650000,1,1983
35.0,1,5,53.25164399999999,50.37682,1500000,1,1991
