adress,area,floor,price,rooms,floors_total,year,latitude,longitude
"Самара, улица Георгия Ратнера, 5, Советский, Самара, Самарская область",46.0,3/5,2050000,2,5.0,1962.0,53.208154,50.226344
"Самара, проспект Ленина, 7, Октябрьский, Самара, Самарская область",54.0,2/12,3550000,2,12.0,1984.0,53.211137,50.143672
"Самара, Ново-Вокзальная улица, 209, Промышленный, Самара, Самарская область",32.7,9/12,2295000,1,12,1976,53.240786,50.215034
"Самара, улица Врубеля, 15, Октябрьский, Самара, Самарская область",90.0,24/24,12000000,2,24.0,2015.0,53.218993,50.167711
"Самара, Владимирская улица, 22, Ленинский, Самара, Самарская область",22.0,7/9,1900000,1,9.0,1978.0,53.199595,50.133287
"Самара, Краснодонская улица, 49, Кировский, Самара, Самарская область",80.5,1/2,4195000,3,2,1941,53.224309,50.253158
"посёлок Управленческий, Красноглинский район, Самара, Крайняя улица, 14, Красноглинский, Самара, Самарская область",52.0,2/5,2500000,3,8.0,1974.0,53.34114,50.221205
"Самара, Алма-Атинская улица, 146, Кировский, Самара, Самарская область",59.8,3/9,3050000,3,9.0,1975.0,53.254968,50.263237
"Самара, Красноглинский район, микрорайон Крутые Ключи, бульвар Ивана Финютина, 27, Красноглинский, Самара, Самарская область",36.1,3/3,1550000,1,3.0,2011.0,53.319511,50.30977
"Россия, Самарская область, Самара, 22 Партсъезда ул, 16, Советский, Самара, Самарская область",33.0,5/5,1850000,1,5.0,1963.0,53.207901,50.232731
"Самарская область,Самара,Кировский район,Нагорная улица,145, Кировский, Самара, Самарская область",83.7,5/10,5600000,2,10,2006,53.232972,50.251919
"Самарская область,Самара,Кировский район,Свободы улица,230, Кировский, Самара, Самарская область",13.0,1/5,889000,1,,,53.236653,50.282614
"Самара, Некрасовская улица, 43, Самарский, Самара, Самарская область",119.0,2/5,8850000,3,,1.0,53.188881,50.095684
"Самара, проспект Кирова, 327, Кировский, Самара, Самарская область",31.0,1/9,1700000,1,9,1982,53.250825,50.230126
"Самара, улица Пушкина, 227, Ленинский, Самара, Самарская область",58.0,13/14,5088000,2,14.0,2011.0,53.244295,50.058709
"Самара, Алма-Атинская улица, 28, Кировский, Самара, Самарская область",30.0,5/5,1420000,1,5.0,1962.0,53.239132,50.281788
"Самара, Владимирская улица, 43А, Железнодорожный, Самара, Самарская область",56.5,4/13,3400000,2,,,53.188379,50.142791
"Самара, улица Фрунзе, 146, Ленинский, Самара, Самарская область",52.5,2/5,4499000,2,5.0,1931.0,53.246261,50.062689
"пгт Волжский, Жилгородок, 45, Самара, Самарская область",43.4,2/10,1545000,1,10,2015,53.435576,50.122076
"Самара, улица Ивана Булкина, 83, Советский, Самара, Самарская область",59.0,5/5,2450000,3,5.0,1965.0,53.213224,50.194283
"ул. Ново-Садовая, д. 201, 201А, 201Б, Октябрьский, Самара, Самарская область",32.5,11/24,2022000,0,,,53.22157,50.169202
"Самара, Вольская улица, 81, Промышленный, Самара, Самарская область",42.0,9/10,2800000,1,,1,53.219317,50.244238
"Самара, Чернореченская улица, 8к8, Ленинский, Самара, Самарская область",49.0,2/3,3500000,2,3.0,1954.0,53.193995,50.130206
"Самара, Ново-Садовая улица, 321А, Промышленный, Самара, Самарская область",89.0,4/9,6300000,3,9,2010,53.244548,50.203347
"Самара, Чапаевская улица, 120, Самарский, Самара, Самарская область",55.9,2/4,5000000,2,2,1,53.188508,50.09448
"Самара, проспект Металлургов, 11, Кировский, Самара, Самарская область",90.0,3/4,3600000,4,4.0,1955.0,53.226169,50.261567
"Самарская область,Самара,Кировский район,Елизарова улица,26, Кировский, Самара, Самарская область",59.9,3/5,2450000,2,24.0,2007.0,53.228465,50.279847
"Самарская область,Самара,Октябрьский район,Ленина проспект,10, Октябрьский, Самара, Самарская область",54.0,3/9,4040000,3,9.0,1968.0,53.207124,50.133027
"Самарская область,Самара,Октябрьский район,Карла Маркса проспект,200, Октябрьский, Самара, Самарская область",92.0,22/24,5500000,3,5.0,1978.0,53.217764,50.193241
"Самара, улица Красных Коммунаров, 42, Промышленный, Самара, Самарская область",30.7,5/5,1750000,1,5,1960,53.211611,50.255772
"Ташкентский Переулок, 43, Кировский, Самара, Самарская область",40.0,1/10,2200000,1,10.0,2005.0,53.236761,50.262627
"Самара, улица Стара Загора, 150, Кировский, Самара, Самарская область",30.0,1/5,1670000,1,5,1970,53.247129,50.234132
"Осипенко ул, 2, Октябрьский, Самара, Самарская область",67.3,5/9,6200000,3,9.0,1970.0,53.213332,50.130448
"Самара, Осетинская улица, 4, Куйбышевский, Самара, Самарская область",36.0,13/16,2300000,1,17,2014,53.154827,50.075966
"ул. м. Горького, 11/2 кв.1, Самарский, Самара, Самарская область",20.0,1/3,950000,1,,1878.0,53.178293,50.074268
"Самара, Садовая улица, 329, Ленинский, Самара, Самарская область",184.0,2/10,11000000,4,16.0,2009.0,53.239881,50.060515
"Россия, Самарская область, Самара, Победы ул, 92а, Советский, Самара, Самарская область",40.0,6/9,2250000,1,5.0,1956.0,53.212695,50.247229
"Самара, проспект Кирова, 322, Промышленный, Самара, Самарская область",54.0,12/12,3800000,2,12,1988,53.255296,50.218124
"Самара, проспект Карла Маркса, 376, Кировский, Самара, Самарская область",44.0,1/5,2150000,2,5.0,1968.0,53.242732,50.238201
"Самара, Красноглинский район, микрорайон Крутые Ключи, бульвар Ивана Финютина, 76, Красноглинский, Самара, Самарская область",34.5,2/3,1590000,1,3,2014,53.327493,50.315439
"Самара, улица Фадеева, 57, Промышленный, Самара, Самарская область",46.0,4/12,2650000,2,9.0,1970.0,53.235268,50.211054
"Самара, посёлок Соцгород, Пугачевский тракт, 49, Куйбышевский, Самара, Самарская область",76.6,2/5,3200000,4,5,1974,53.123685,50.09413
"Московское Шоссе, 139, Промышленный, Самара, Самарская область",50.0,3/9,3100000,2,9.0,1977.0,53.241557,50.209285
"Россия, Самарская область, Самара, Мечникова, 5, Железнодорожный, Самара, Самарская область",48.0,12/18,2641100,1,19.0,2016.0,53.186339,50.134868
"Самара, улица Свободы, 184, Кировский, Самара, Самарская область",58.0,1/5,2850000,3,5.0,1968.0,53.229473,50.274978
"Самарская область,Самара,Кировский район,Кузнецкая улица,31, Кировский, Самара, Самарская область",62.6,5/5,2700000,3,5,1977,53.228692,50.271664
"Самара, улица Осипенко, 2Б, подъезд 1, Октябрьский, Самара, Самарская область",85.0,1/16,7900000,3,16.0,1977.0,53.214453,50.131904
"Самара, улица Аминева, 25, Промышленный, Самара, Самарская область",45.0,5/9,2899000,2,9.0,1986.0,53.250103,50.209518
"Самара, улица Чкалова, 72, Ленинский, Самара, Самарская область",100.0,3/9,7300000,2,11,2015,53.201364,50.123424
"Самарская область,Самара,Приволжский микрорайон,Георгия Димитрова улица,79, Промышленный, Самара, Самарская область",60.0,7/9,3580000,3,9,1979,53.257419,50.228518
"Самара, Красноглинский район, посёлок Управленческий, Крайняя улица, 6, Красноглинский, Самара, Самарская область",55.0,5/5,2700000,3,5.0,1977.0,53.342156,50.217666
"Самара, улица Челюскинцев, 14, Октябрьский, Самара, Самарская область",22.0,8/9,1947000,1,9.0,1975.0,53.209352,50.143788
"Самарская область,Самара,Советский район,Советской Армии улица,5, Советский, Самара, Самарская область",30.0,8/9,1650000,2,9.0,1991.0,53.194125,50.218888
"Самара, Воронежская улица, 186, Промышленный, Самара, Самарская область",46.0,1/5,2500000,2,5.0,1967.0,53.239078,50.223047
"посёлок Управленческий, Красноглинский район, Самара, улица 8 Марта, 19, Красноглинский, Самара, Самарская область",44.0,2/2,1690000,2,2,1959,53.347258,50.209896
"ул Днепровская, 3, Советский, Самара, Самарская область",60.8,3/5,3800000,4,5.0,1978.0,53.200075,50.22461
"Самара, Ставропольская улица, 98к1, Промышленный, Самара, Самарская область",23.0,2/5,1300000,1,5,1972,53.222406,50.231994
"Самара, поселок Мехзавод, 1-й квартал, 50, Красноглинский, Самара, Самарская область",39.0,1/10,1930000,1,None,None,53.306503,50.286809
"Самара, Революционная улица, 87, Октябрьский, Самара, Самарская область",32.0,5/5,2150000,1,5.0,1962.0,53.210468,50.171475
"Самарская область,Самара,Октябрьский район,Скляренко улица,17, Октябрьский, Самара, Самарская область",77.0,3/9,4500000,3,9.0,1986.0,53.214329,50.159123
"Самарская область,Самара,Кировский район,Георгия Димитрова улица,78, Кировский, Самара, Самарская область",62.0,4/9,3500000,3,9.0,1971.0,53.253686,50.230979
"ул. Краснодонская, д. 10, Промышленный, Самара, Самарская область",44.3,4/27,1904900,1,,,53.215769,50.261701
"Венцека 78, Самарский, Самара, Самарская область",87.0,3/9,5850000,2,9,2004,53.18301,50.099816
"ул. Виталия Талабаева, д. 2, Куйбышевский, Самара, Самарская область",40.0,5/16,2150000,1,,,53.146748,50.077151
"Самара, Гвардейская улица, 15, Кировский, Самара, Самарская область",34.0,9/9,2000000,1,9,1972,53.234492,50.28009
"Самарская область,Самара,Ленинский район,Красноармейская улица,60, Ленинский, Самара, Самарская область",127.0,1/3,4690000,3,3,1917,53.191228,50.110569
"Кромская д.4, Кировский, Самара, Самарская область",125.0,2/10,6600000,3,10.0,2007.0,53.233403,50.25367
"Самара, улица Карбышева, 71, подъезд 2, Советский, Самара, Самарская область",44.3,8/18,3000000,1,18.0,2010.0,53.209071,50.207659
"Самара, улица Победы, 98, Промышленный, Самара, Самарская область",72.0,4/4,3590000,3,5.0,1954.0,53.215348,50.253212
"ул Ставропольская, 92, Промышленный, Самара, Самарская область",42.2,1/3,2150000,2,3.0,1962.0,53.221905,50.231617
"Самара, Партизанская улица, 171В, Советский, Самара, Самарская область",33.0,9/10,2600000,1,5,1966,53.187154,50.197472
"Дачная 25, Ленинский, Самара, Самарская область",70.0,1/9,3880000,3,12.0,1976.0,53.199034,50.143249
"Самара, проспект Кирова, 235, Кировский, Самара, Самарская область",44.0,4/5,2700000,2,5,1967,53.235085,50.24431
