area,floor,floors_total,latitude,longitude,price,rooms,year
82.0,1,4,59.940294,30.323863,15150000,2,0
42.0,2,12,59.999287,30.2253,5190000,1,0
72.4,2,5,59.91073100000001,30.324591,8049999,3,0
42.0,3,5,59.961579,30.322183000000006,6740000,2,0
56.7,15,25,60.071389,30.326459000000003,5999000,2,0
88.0,2,10,59.928879,30.26037,11300000,3,0
21.7,13,17,59.82028199999999,30.3382,2800000,0,0
44.0,5,5,59.854377,30.301818,5100000,2,0
51.0,6,10,60.012534,30.310784,9999000,1,0
75.5,1,5,59.92714399999999,30.311772,10500000,3,0
40.0,22,25,59.870366,30.158986,4950000,1,0
60.0,20,23,59.863513,30.505943,6500000,2,0
53.2,1,3,59.86726700000001,29.919217,4700000,2,0
77.5,1,17,59.99701,30.208088,7790000,3,0
70.0,2,9,59.740316,30.470324,4800000,2,0
44.6,3,5,60.040195,30.405583,5250000,2,0
50.8,1,9,60.012219,30.352843,7000000,2,0
36.0,7,15,60.055821,30.431841,3990000,1,0
163.5,6,7,59.800096,30.398046,21800000,8,0
49.5,4,5,59.843191,30.236071000000006,4490000,4,0
25.6,3,10,60.05711899999999,30.424897,2930000,0,0
34.6,1,9,60.037944,30.350354,3350000,1,0
108.0,7,10,59.957584,30.405511,18360000,3,0
134.0,9,10,59.957935,30.273081,39000000,2,0
18.0,2,4,59.923026,30.292907,2650000,0,0
64.0,6,16,59.832697,30.405089,6800000,2,0
50.0,1,12,59.83568100000001,30.402026,6200000,2,0
47.3,6,23,59.952984,30.480502,4690000,1,0
45.9,3,5,59.864308,30.456059000000003,3970000,2,0
42.0,5,5,59.848841,30.335811,4950000,2,0
107.0,15,23,59.838041,30.350426,20100000,3,0
24.4,1,11,60.04241500000001,30.224716,3000000,0,0
35.2,14,25,59.977976,30.436638,4700000,1,0
158.5,6,7,59.800096,30.398046,24000000,4,0
71.6,21,25,60.053952,30.327196,7815000,3,0
59.0,3,6,59.981019,30.349115,7500000,3,0
72.5,7,14,59.999287,30.2253,12395000,3,0
60.6,16,17,60.008878,30.259984000000006,7700000,2,0
81.0,5,5,59.925254,30.407802,10000000,3,0
107.0,6,6,59.941114,30.384419,22900000,3,0
110.2,6,7,59.925038,30.354082,9450000,4,0
52.0,9,13,60.059571,30.452951,5200000,2,0
51.0,6,9,59.94698199999999,30.486,5000000,2,0
30.0,20,25,59.89255,30.450202,4000000,0,0
77.7,17,25,60.053952,30.327196,8480000,3,0
226.0,8,8,59.868546,30.263029,29000000,4,0
49.0,3,5,59.83565400000001,30.206570000000006,4550000,4,0
42.0,3,5,59.833927,30.141451,3850000,3,0
13.2,1,7,59.911263,30.325543,1970000,0,0
25.0,13,17,59.830988,30.364799,3950000,0,0
39.3,4,9,59.959435,30.259220000000006,9100000,1,0
58.0,1,5,59.920731,30.41647,6990000,2,0
115.0,3,6,59.96938000000001,30.261017,29900000,3,0
52.2,1,12,60.023587,30.220647,6070000,2,0
163.0,3,7,59.927333,30.314045,23070000,5,0
80.9,6,9,60.02811,30.285568,8295000,3,0
65.7,2,9,60.039153000000006,30.330376,6100000,3,0
46.1,5,9,60.07082800000001,30.321357,5400000,2,0
