area,bank_500,bus_stop_500,cafe_500,cinema_500,distance_to_center,distance_to_subway,floor,floors_total,government_500,hospital_500,hotel_500,leisure_500,mean_salary,median_salary,nightlife_500,office_500,point_of_interest_500,price_per_m,rooms,school_500,shop_500,subway_station_500,tram_stop_500,univercity_500,vacancy_500
68.0,1,12,2,0,9188,2400,2,9,3,1,0,0,41,38,0,1,6,98529,2,0,11,0,5,0,27
57.2,0,0,1,0,2932,3800,10,11,0,0,0,0,34,30,0,0,0,51573,2,0,7,0,0,0,1
52.0,0,2,1,0,4933,1200,5,5,0,0,0,1,32,30,0,0,0,41346,2,0,2,0,2,0,6
84.0,0,11,0,0,9936,3200,3,12,0,2,1,0,42,41,2,2,1,77261,2,0,2,0,0,0,5
57.2,0,0,1,0,2932,3800,10,11,0,0,0,0,34,30,0,0,0,51573,2,0,7,0,0,0,1
110.0,3,10,9,0,10938,4000,8,9,3,0,2,0,33,25,1,2,7,68181,2,2,8,0,0,1,7
76.0,1,6,8,0,4561,1200,14,22,0,0,3,3,41,35,1,2,1,84210,2,1,19,0,3,0,17
102.0,0,0,1,0,5018,1400,10,23,0,0,2,0,34,30,0,0,0,70588,2,0,3,0,0,0,3
45.0,0,5,1,1,1637,2800,2,5,0,2,0,1,33,30,0,1,3,54444,2,2,4,0,0,0,0
45.0,2,10,4,0,832,4100,1,9,0,1,0,0,34,30,0,0,0,56666,2,0,8,0,0,0,0
78.5,4,12,10,0,9475,3200,8,9,3,1,0,0,41,41,1,2,9,108280,2,0,7,0,6,3,78
83.0,3,7,5,0,8316,1500,5,16,0,0,0,0,38,31,0,4,0,87951,2,1,8,0,5,0,8
45.0,2,10,4,0,832,4100,1,9,0,1,0,0,34,30,0,0,0,56666,2,0,8,0,0,0,0
54.0,2,8,0,0,445,3400,12,12,0,0,0,0,32,30,1,0,2,50000,2,0,17,0,5,0,1
80.0,2,8,0,0,3686,2100,2,10,0,2,0,1,36,32,1,0,1,77487,2,0,1,0,2,0,7
76.0,1,6,8,0,4561,1200,14,22,0,0,3,3,41,35,1,2,1,84210,2,1,19,0,3,0,17
46.0,2,3,0,0,3391,600,3,5,0,0,0,0,41,37,0,0,0,57608,2,2,9,0,0,0,2
51.0,0,2,0,0,10573,2800,3,3,0,0,0,0,66,67,0,0,0,45078,2,0,0,0,0,0,0
68.0,1,12,2,0,9188,2400,2,9,3,1,0,0,41,38,0,1,6,98529,2,0,11,0,5,0,27
84.0,0,11,0,0,9936,3200,3,12,0,2,1,0,42,41,2,2,1,77261,2,0,2,0,0,0,5
46.0,2,3,0,0,3391,600,3,5,0,0,0,0,41,37,0,0,0,57608,2,2,9,0,0,0,2
82.2,1,26,4,0,9669,2900,4,8,3,1,0,0,41,40,3,1,3,85158,2,0,2,0,8,0,10
80.0,2,8,0,0,3686,2100,2,10,0,2,0,1,36,32,1,0,1,77487,2,0,1,0,2,0,7
78.5,4,12,10,0,9475,3200,8,9,3,1,0,0,41,41,1,2,9,108280,2,0,7,0,6,3,78
102.0,0,0,1,0,5018,1400,10,23,0,0,2,0,34,30,0,0,0,70588,2,0,3,0,0,0,3
52.0,0,2,1,0,4933,1200,5,5,0,0,0,1,32,30,0,0,0,41346,2,0,2,0,2,0,6
57.2,0,0,1,0,2932,3800,10,11,0,0,0,0,34,30,0,0,0,51573,2,0,7,0,0,0,1
52.0,0,2,1,0,4933,1200,5,5,0,0,0,1,32,30,0,0,0,41346,2,0,2,0,2,0,6
51.0,0,0,0,0,11412,14700,2,5,0,0,0,0,32,30,0,0,0,50980,2,0,0,0,0,0,0
84.0,1,1,0,0,3552,2200,10,10,0,0,0,1,34,30,0,0,1,73809,2,0,0,0,1,0,10
82.2,1,26,4,0,9669,2900,4,8,3,1,0,0,41,40,3,1,3,85158,2,0,2,0,8,0,10
76.0,1,6,8,0,4561,1200,14,22,0,0,3,3,41,35,1,2,1,84210,2,1,19,0,3,0,17
45.0,0,5,1,1,1637,2800,2,5,0,2,0,1,33,30,0,1,3,54444,2,2,4,0,0,0,0
45.0,2,10,4,0,832,4100,1,9,0,1,0,0,34,30,0,0,0,56666,2,0,8,0,0,0,0
68.0,1,12,2,0,9188,2400,2,9,3,1,0,0,41,38,0,1,6,98529,2,0,11,0,5,0,27
45.0,0,5,1,1,1637,2800,2,5,0,2,0,1,33,30,0,1,3,54444,2,2,4,0,0,0,0
44.0,0,2,1,0,1652,3300,1,5,1,0,0,0,38,30,0,1,0,46590,2,1,2,0,2,0,2
84.0,1,1,0,0,3552,2200,10,10,0,0,0,1,34,30,0,0,1,73809,2,0,0,0,1,0,10
80.0,2,8,0,0,3686,2100,2,10,0,2,0,1,36,32,1,0,1,77487,2,0,1,0,2,0,7
51.0,0,2,0,0,10573,2800,3,3,0,0,0,0,66,67,0,0,0,45078,2,0,0,0,0,0,0
46.0,2,3,0,0,3391,600,3,5,0,0,0,0,41,37,0,0,0,57608,2,2,9,0,0,0,2
102.0,0,0,1,0,5018,1400,10,23,0,0,2,0,34,30,0,0,0,70588,2,0,3,0,0,0,3
71.0,1,1,0,0,2922,2300,11,15,0,0,0,0,40,32,2,0,1,91549,2,0,5,0,0,1,22
51.0,0,2,0,0,10573,2800,3,3,0,0,0,0,66,67,0,0,0,45078,2,0,0,0,0,0,0
54.0,0,0,0,0,6929,2500,2,5,0,0,0,0,37,34,0,0,0,33333,2,0,0,0,0,0,3
82.2,1,26,4,0,9669,2900,4,8,3,1,0,0,41,40,3,1,3,85158,2,0,2,0,8,0,10
71.0,1,1,0,0,2922,2300,11,15,0,0,0,0,40,32,2,0,1,91549,2,0,5,0,0,1,22
76.0,1,6,8,0,4561,1200,14,22,0,0,3,3,41,35,1,2,1,84210,2,1,19,0,3,0,17
52.0,0,2,1,0,4933,1200,5,5,0,0,0,1,32,30,0,0,0,41346,2,0,2,0,2,0,6
51.0,0,0,0,0,11412,14700,2,5,0,0,0,0,32,30,0,0,0,50980,2,0,0,0,0,0,0
51.0,0,0,0,0,11412,14700,2,5,0,0,0,0,32,30,0,0,0,50980,2,0,0,0,0,0,0
82.0,2,21,0,0,9409,1400,5,16,2,1,0,0,40,40,0,1,6,86585,2,0,8,0,3,0,27
43.0,3,3,0,0,3433,500,4,5,0,0,0,0,41,41,1,0,1,58139,2,1,9,0,1,0,3
84.0,1,1,0,0,3552,2200,10,10,0,0,0,1,34,30,0,0,1,73809,2,0,0,0,1,0,10
82.0,2,21,0,0,9409,1400,5,16,2,1,0,0,40,40,0,1,6,86585,2,0,8,0,3,0,27
80.0,2,8,0,0,3686,2100,2,10,0,2,0,1,36,32,1,0,1,77487,2,0,1,0,2,0,7
45.0,0,5,1,1,1637,2800,2,5,0,2,0,1,33,30,0,1,3,54444,2,2,4,0,0,0,0
46.0,0,15,6,1,5876,1200,4,5,0,0,0,1,40,32,1,1,0,48478,2,0,18,0,4,0,11
44.0,0,2,1,0,1652,3300,1,5,1,0,0,0,38,30,0,1,0,46590,2,1,2,0,2,0,2
44.0,0,2,1,0,1652,3300,1,5,1,0,0,0,38,30,0,1,0,46590,2,1,2,0,2,0,2
65.0,0,8,4,0,10299,3400,3,10,1,0,1,0,35,25,2,1,7,133692,2,0,3,0,3,2,3
71.0,1,1,0,0,2922,2300,11,15,0,0,0,0,40,32,2,0,1,91549,2,0,5,0,0,1,22
82.2,1,26,4,0,9669,2900,4,8,3,1,0,0,41,40,3,1,3,85158,2,0,2,0,8,0,10
65.0,0,8,4,0,10299,3400,3,10,1,0,1,0,35,25,2,1,7,133692,2,0,3,0,3,2,3
54.0,0,0,0,0,6929,2500,2,5,0,0,0,0,37,34,0,0,0,33333,2,0,0,0,0,0,3
51.0,0,2,0,0,10573,2800,3,3,0,0,0,0,66,67,0,0,0,45078,2,0,0,0,0,0,0
45.0,0,0,0,0,10676,12200,1,3,0,0,0,0,42,34,0,0,0,48888,2,0,0,0,0,0,0
54.0,0,0,0,0,6929,2500,2,5,0,0,0,0,37,34,0,0,0,33333,2,0,0,0,0,0,3
82.0,2,21,0,0,9409,1400,5,16,2,1,0,0,40,40,0,1,6,86585,2,0,8,0,3,0,27
60.0,4,12,10,0,9475,3400,20,24,3,1,0,0,41,41,1,2,9,150000,2,0,7,0,6,3,78
84.0,1,1,0,0,3552,2200,10,10,0,0,0,1,34,30,0,0,1,73809,2,0,0,0,1,0,10
43.0,3,3,0,0,3433,500,4,5,0,0,0,0,41,41,1,0,1,58139,2,1,9,0,1,0,3
60.0,4,12,10,0,9475,3400,20,24,3,1,0,0,41,41,1,2,9,150000,2,0,7,0,6,3,78
51.0,0,0,0,0,11412,14700,2,5,0,0,0,0,32,30,0,0,0,50980,2,0,0,0,0,0,0
69.3,0,0,0,0,12441,15800,1,4,0,0,0,0,32,30,0,0,0,35353,2,0,0,0,0,0,0
43.0,3,3,0,0,3433,500,4,5,0,0,0,0,41,41,1,0,1,58139,2,1,9,0,1,0,3
93.0,1,8,6,0,10368,3500,7,10,2,0,1,0,35,25,2,1,5,102150,2,0,3,0,3,0,3
65.0,0,8,4,0,10299,3400,3,10,1,0,1,0,35,25,2,1,7,133692,2,0,3,0,3,2,3
71.0,1,1,0,0,2922,2300,11,15,0,0,0,0,40,32,2,0,1,91549,2,0,5,0,0,1,22
44.0,0,2,1,0,1652,3300,1,5,1,0,0,0,38,30,0,1,0,46590,2,1,2,0,2,0,2
46.0,0,15,6,1,5876,1200,4,5,0,0,0,1,40,32,1,1,0,48478,2,0,18,0,4,0,11
46.0,0,15,6,1,5876,1200,4,5,0,0,0,1,40,32,1,1,0,48478,2,0,18,0,4,0,11
93.0,1,8,6,0,10368,3500,7,10,2,0,1,0,35,25,2,1,5,102150,2,0,3,0,3,0,3
53.2,1,8,0,0,4278,2400,3,5,0,0,0,0,39,40,0,0,0,40413,2,0,1,0,4,0,2
60.0,4,12,10,0,9475,3400,20,24,3,1,0,0,41,41,1,2,9,150000,2,0,7,0,6,3,78
82.0,2,21,0,0,9409,1400,5,16,2,1,0,0,40,40,0,1,6,86585,2,0,8,0,3,0,27
54.0,0,0,0,0,6929,2500,2,5,0,0,0,0,37,34,0,0,0,33333,2,0,0,0,0,0,3
60.0,0,8,4,0,10299,3400,7,9,1,0,1,0,35,25,2,1,7,120000,2,0,3,0,3,2,3
60.0,0,8,4,0,10299,3400,7,9,1,0,1,0,35,25,2,1,7,120000,2,0,3,0,3,2,3
45.0,0,0,0,0,10676,12200,1,3,0,0,0,0,42,34,0,0,0,48888,2,0,0,0,0,0,0
45.0,0,0,0,0,10676,12200,1,3,0,0,0,0,42,34,0,0,0,48888,2,0,0,0,0,0,0
42.0,0,0,0,0,11728,15000,4,4,0,0,0,0,32,30,0,0,0,39285,2,0,0,0,0,0,0
93.0,1,8,6,0,10368,3500,7,10,2,0,1,0,35,25,2,1,5,102150,2,0,3,0,3,0,3
43.0,3,3,0,0,3433,500,4,5,0,0,0,0,41,41,1,0,1,58139,2,1,9,0,1,0,3
89.0,1,5,7,0,4683,1100,17,22,1,0,2,4,39,35,1,2,2,78089,2,0,15,0,3,0,23
89.0,1,5,7,0,4683,1100,17,22,1,0,2,4,39,35,1,2,2,78089,2,0,15,0,3,0,23
65.0,0,8,4,0,10299,3400,3,10,1,0,1,0,35,25,2,1,7,133692,2,0,3,0,3,2,3
69.3,0,0,0,0,12441,15800,1,4,0,0,0,0,32,30,0,0,0,35353,2,0,0,0,0,0,0
69.3,0,0,0,0,12441,15800,1,4,0,0,0,0,32,30,0,0,0,35353,2,0,0,0,0,0,0
45.0,1,6,2,1,6222,1100,4,5,0,0,0,1,36,32,0,1,1,55555,2,0,12,0,6,0,9
46.0,0,15,6,1,5876,1200,4,5,0,0,0,1,40,32,1,1,0,48478,2,0,18,0,4,0,11
77.0,6,25,6,0,8819,2200,11,11,0,1,0,0,40,32,1,5,10,106493,2,0,14,0,5,0,28
60.0,0,8,4,0,10299,3400,7,9,1,0,1,0,35,25,2,1,7,120000,2,0,3,0,3,2,3
60.0,4,12,10,0,9475,3400,20,24,3,1,0,0,41,41,1,2,9,150000,2,0,7,0,6,3,78
77.0,6,25,6,0,8819,2200,11,11,0,1,0,0,40,32,1,5,10,106493,2,0,14,0,5,0,28
53.2,1,8,0,0,4278,2400,3,5,0,0,0,0,39,40,0,0,0,40413,2,0,1,0,4,0,2
43.0,1,4,0,0,2339,3400,3,9,0,0,0,0,31,30,0,1,0,55813,2,0,0,0,4,0,4
45.0,0,0,0,0,10676,12200,1,3,0,0,0,0,42,34,0,0,0,48888,2,0,0,0,0,0,0
53.2,1,8,0,0,4278,2400,3,5,0,0,0,0,39,40,0,0,0,40413,2,0,1,0,4,0,2
89.0,1,5,7,0,4683,1100,17,22,1,0,2,4,39,35,1,2,2,78089,2,0,15,0,3,0,23
87.0,1,12,2,0,6791,900,8,16,0,0,1,0,34,30,0,0,0,75862,2,0,16,0,10,0,29
93.0,1,8,6,0,10368,3500,7,10,2,0,1,0,35,25,2,1,5,102150,2,0,3,0,3,0,3
87.0,1,12,2,0,6791,900,8,16,0,0,1,0,34,30,0,0,0,75862,2,0,16,0,10,0,29
45.2,1,1,1,0,4692,500,4,5,0,1,0,0,34,30,0,0,0,59292,2,0,9,0,0,0,1
42.0,0,0,0,0,11728,15000,4,4,0,0,0,0,32,30,0,0,0,39285,2,0,0,0,0,0,0
82.5,5,10,23,0,6940,1100,9,14,2,2,2,1,35,30,6,8,2,76363,2,0,31,0,3,0,59
77.0,6,25,6,0,8819,2200,11,11,0,1,0,0,40,32,1,5,10,106493,2,0,14,0,5,0,28
45.9,2,4,0,0,296,3400,1,5,0,0,0,0,31,30,0,0,3,57516,2,0,19,0,2,0,0
82.5,5,10,23,0,6940,1100,9,14,2,2,2,1,35,30,6,8,2,76363,2,0,31,0,3,0,59
60.0,0,8,4,0,10299,3400,7,9,1,0,1,0,35,25,2,1,7,120000,2,0,3,0,3,2,3
45.0,1,6,2,1,6222,1100,4,5,0,0,0,1,36,32,0,1,1,55555,2,0,12,0,6,0,9
87.0,1,12,2,0,6791,900,8,16,0,0,1,0,34,30,0,0,0,75862,2,0,16,0,10,0,29
89.0,1,5,7,0,4683,1100,17,22,1,0,2,4,39,35,1,2,2,78089,2,0,15,0,3,0,23
41.0,1,7,0,0,2232,3600,1,5,0,0,1,0,40,32,0,4,4,48780,2,0,7,0,4,0,3
112.9,0,3,3,0,8358,1200,12,16,4,0,1,1,38,28,0,0,0,63020,2,1,4,0,3,0,8
112.9,0,3,3,0,8358,1200,12,16,4,0,1,1,38,28,0,0,0,63020,2,1,4,0,3,0,8
82.5,5,10,23,0,6940,1100,9,14,2,2,2,1,35,30,6,8,2,76363,2,0,31,0,3,0,59
77.0,6,25,6,0,8819,2200,11,11,0,1,0,0,40,32,1,5,10,106493,2,0,14,0,5,0,28
43.0,1,4,0,0,2339,3400,3,9,0,0,0,0,31,30,0,1,0,55813,2,0,0,0,4,0,4
93.0,1,9,2,0,2121,3800,9,17,0,0,1,0,40,32,0,4,2,86021,2,0,8,0,5,0,3
93.0,1,9,2,0,2121,3800,9,17,0,0,1,0,40,32,0,4,2,86021,2,0,8,0,5,0,3
87.0,1,12,2,0,6791,900,8,16,0,0,1,0,34,30,0,0,0,75862,2,0,16,0,10,0,29
112.9,0,3,3,0,8358,1200,12,16,4,0,1,1,38,28,0,0,0,63020,2,1,4,0,3,0,8
45.2,1,1,1,0,4692,500,4,5,0,1,0,0,34,30,0,0,0,59292,2,0,9,0,0,0,1
69.3,0,0,0,0,12441,15800,1,4,0,0,0,0,32,30,0,0,0,35353,2,0,0,0,0,0,0
42.0,0,0,0,0,11728,15000,4,4,0,0,0,0,32,30,0,0,0,39285,2,0,0,0,0,0,0
74.7,1,5,7,0,4738,1100,7,20,1,0,2,4,39,35,0,2,2,93708,2,0,17,0,3,0,23
45.9,2,4,0,0,296,3400,1,5,0,0,0,0,31,30,0,0,3,57516,2,0,19,0,2,0,0
82.5,5,10,23,0,6940,1100,9,14,2,2,2,1,35,30,6,8,2,76363,2,0,31,0,3,0,59
93.0,1,9,2,0,2121,3800,9,17,0,0,1,0,40,32,0,4,2,86021,2,0,8,0,5,0,3
43.0,0,15,6,0,8052,1600,3,5,0,0,0,2,39,32,0,4,1,53488,2,0,3,0,0,2,0
53.2,1,8,0,0,4278,2400,3,5,0,0,0,0,39,40,0,0,0,40413,2,0,1,0,4,0,2
45.0,1,6,2,1,6222,1100,4,5,0,0,0,1,36,32,0,1,1,55555,2,0,12,0,6,0,9
41.0,1,7,0,0,2232,3600,1,5,0,0,1,0,40,32,0,4,4,48780,2,0,7,0,4,0,3
74.7,1,5,7,0,4738,1100,7,20,1,0,2,4,39,35,0,2,2,93708,2,0,17,0,3,0,23
92.4,2,7,8,0,4362,1400,6,24,0,2,1,3,41,35,3,2,3,77922,2,1,17,0,4,0,3
